chr	locus	value
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_300arrow_ctg1	52870	fCotGob3_fCotGob3_300arrow_ctg1
fCotGob3_fCotGob3_332arrow_ctg1	273004	fCotGob3_fCotGob3_332arrow_ctg1
fCotGob3_fCotGob3_417arrow_ctg1	34963	fCotGob3_fCotGob3_417arrow_ctg1
fCotGob3_fCotGob3_92arrow_ctg1	50049	fCotGob3_fCotGob3_92arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr2	6924416	fGouWil2_chr2
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr7	20272378	fGouWil2_chr7
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr15	18513505	fGouWil2_chr15
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr24	12975636	fGouWil2_chr24
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr2	5724603	fMasArm1_chr2
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr7	13356603	fMasArm1_chr7
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr15	12037531	fMasArm1_chr15
fMasArm1_chr24	10664311	fMasArm1_chr24
fMasArm1_Contig12arrow_ctg1	559473	fMasArm1_Contig12arrow_ctg1
mLynCan4_chrA3	69915584	mLynCan4_chrA3
mLynCan4_chrC1	110477330	mLynCan4_chrC1
mOrnAna1_chr4	68047194	mOrnAna1_chr4
mOrnAna1_chr5	55146515	mOrnAna1_chr5
mOrnAna1_chr8	35474907	mOrnAna1_chr8
mOrnAna1_chr9	30930611	mOrnAna1_chr9
mOrnAna1_chr12	30228024	mOrnAna1_chr12
mOrnAna1_chr15	13187509	mOrnAna1_chr15
mOrnAna1_chr16	23198637	mOrnAna1_chr16
mOrnAna1_chr18	22342250	mOrnAna1_chr18
mOrnAna1_chr21	12257429	mOrnAna1_chr21
mPhyDis1_chr5	87574110	mPhyDis1_chr5
mPhyDis1_chr9	52843984	mPhyDis1_chr9
mRhiFer1_chr9	47251211	mRhiFer1_chr9
mRhiFer1_chr23	22771893	mRhiFer1_chr23
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr3	112571524	rGopEvg1_chr3
rGopEvg1_chr4	77959320	rGopEvg1_chr4
rGopEvg1_chr5	73712574	rGopEvg1_chr5
rGopEvg1_chr14	17011897	rGopEvg1_chr14
rGopEvg1_chr18	11583386	rGopEvg1_chr18
rGopEvg1_scaffold_32_arrow_ctg1	3426484	rGopEvg1_scaffold_32_arrow_ctg1
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr8	41817143	sAmbRad1_chr8
sAmbRad1_chr10	35047381	sAmbRad1_chr10
sAmbRad1_chr23	21075475	sAmbRad1_chr23
sAmbRad1_chr31	16114275	sAmbRad1_chr31
sAmbRad1_scaffold_414_ctg1	85850	sAmbRad1_scaffold_414_ctg1
