chr	locus	value
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_145arrow_ctg1	23244	fCotGob3_fCotGob3_145arrow_ctg1
fCotGob3_fCotGob3_184arrow_ctg1	140606	fCotGob3_fCotGob3_184arrow_ctg1
fCotGob3_fCotGob3_192arrow_ctg1	166773	fCotGob3_fCotGob3_192arrow_ctg1
fCotGob3_fCotGob3_42arrow_ctg1	401529	fCotGob3_fCotGob3_42arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr13	22260683	fGouWil2_chr13
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr24	12975636	fGouWil2_chr24
fGouWil2_scaffold_228_arrow_ctg1	369447	fGouWil2_scaffold_228_arrow_ctg1
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr7	13356603	fMasArm1_chr7
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr13	13749128	fMasArm1_chr13
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr20	10031731	fMasArm1_chr20
fMasArm1_chr23	8226894	fMasArm1_chr23
fMasArm1_chr24	10664311	fMasArm1_chr24
mLynCan4_chrA2	84494171	mLynCan4_chrA2
mLynCan4_chrA3	69915584	mLynCan4_chrA3
mLynCan4_chrE3	20525415	mLynCan4_chrE3
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr4	68047194	mOrnAna1_chr4
mOrnAna1_chr7	41669021	mOrnAna1_chr7
mOrnAna1_chr8	35474907	mOrnAna1_chr8
mOrnAna1_chr10	29722348	mOrnAna1_chr10
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chr13	21147321	mOrnAna1_chr13
mOrnAna1_chr17	22768335	mOrnAna1_chr17
mOrnAna1_chr21	12257429	mOrnAna1_chr21
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mPhyDis1_chr10	47816787	mPhyDis1_chr10
mPhyDis1_chr13	38519993	mPhyDis1_chr13
mRhiFer1_chr7	50138214	mRhiFer1_chr7
mRhiFer1_chr12	41978070	mRhiFer1_chr12
mRhiFer1_chr20	28891940	mRhiFer1_chr20
mRhiFer1_chr24	22408737	mRhiFer1_chr24
mRhiFer1_chr26	15067897	mRhiFer1_chr26
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr10	43246753	rGopEvg1_chr10
rGopEvg1_chr17	12483137	rGopEvg1_chr17
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr4	60907368	sAmbRad1_chr4
sAmbRad1_chr5	57817621	sAmbRad1_chr5
sAmbRad1_chr8	41817143	sAmbRad1_chr8
sAmbRad1_chr16	26446979	sAmbRad1_chr16
sAmbRad1_chr19	23845658	sAmbRad1_chr19
sAmbRad1_chr21	21987025	sAmbRad1_chr21
sAmbRad1_chr22	21894191	sAmbRad1_chr22
sAmbRad1_chr24	20278864	sAmbRad1_chr24
sAmbRad1_chr28	18210714	sAmbRad1_chr28
sAmbRad1_scaffold_1140_ctg1	12310	sAmbRad1_scaffold_1140_ctg1
