chr	locus	value
rGopEvg1_chr4	77959320	rGopEvg1_chr4
rGopEvg1_chr5	73712574	rGopEvg1_chr5
rGopEvg1_chr6	68898876	rGopEvg1_chr6
rGopEvg1_chr7	65805985	rGopEvg1_chr7
rGopEvg1_chr12	22145997	rGopEvg1_chr12
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr3	65657566	sAmbRad1_chr3
sAmbRad1_chr6	52462704	sAmbRad1_chr6
sAmbRad1_chr9	37664526	sAmbRad1_chr9
sAmbRad1_chr13	31026464	sAmbRad1_chr13
sAmbRad1_chr15	29944381	sAmbRad1_chr15
sAmbRad1_chr17	25485429	sAmbRad1_chr17
sAmbRad1_chr20	23377017	sAmbRad1_chr20
sAmbRad1_chr28	18210714	sAmbRad1_chr28
sAmbRad1_chr31	16114275	sAmbRad1_chr31
sAmbRad1_chr41	8328284	sAmbRad1_chr41
