chr	locus	value
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_fCotGob3_184arrow_ctg1	140606	fCotGob3_fCotGob3_184arrow_ctg1
fCotGob3_fCotGob3_298arrow_ctg1	46509	fCotGob3_fCotGob3_298arrow_ctg1
fCotGob3_fCotGob3_333arrow_ctg1	41404	fCotGob3_fCotGob3_333arrow_ctg1
fCotGob3_fCotGob3_42arrow_ctg1	401529	fCotGob3_fCotGob3_42arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr7	20272378	fGouWil2_chr7
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr16	20117201	fGouWil2_chr16
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr7	13356603	fMasArm1_chr7
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr10	14562035	fMasArm1_chr10
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr23	8226894	fMasArm1_chr23
mLynCan4_chrB4	70655818	mLynCan4_chrB4
mLynCan4_chrD3	46724169	mLynCan4_chrD3
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr10	29722348	mOrnAna1_chr10
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chr14	26444703	mOrnAna1_chr14
mOrnAna1_chr21	12257429	mOrnAna1_chr21
mOrnAna1_chrX4	4319728	mOrnAna1_chrX4
mPhyDis1_chr1	109215071	mPhyDis1_chr1
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr7	69623964	mPhyDis1_chr7
mPhyDis1_chr13	38519993	mPhyDis1_chr13
mRhiFer1_chr6	50576792	mRhiFer1_chr6
mRhiFer1_chr10	46232412	mRhiFer1_chr10
mRhiFer1_chr25	20170404	mRhiFer1_chr25
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr3	112571524	rGopEvg1_chr3
rGopEvg1_chr13	17026189	rGopEvg1_chr13
sAmbRad1_chr19	23845658	sAmbRad1_chr19
sAmbRad1_chr21	21987025	sAmbRad1_chr21
sAmbRad1_chr25	19119878	sAmbRad1_chr25
sAmbRad1_chr30	16668339	sAmbRad1_chr30
sAmbRad1_chr38	9745214	sAmbRad1_chr38
sAmbRad1_chr43	6717932	sAmbRad1_chr43
sAmbRad1_chr46	4336768	sAmbRad1_chr46
