chr	locus	value
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_scaffold_29_ctg1	2241240	fArcCen1_scaffold_29_ctg1
fArcCen1_scaffold_58_ctg1	710550	fArcCen1_scaffold_58_ctg1
fArcCen1_scaffold_76_ctg1	343613	fArcCen1_scaffold_76_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr20	15733877	fAstCal1_chr20
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr2	6461564	fCotGob3_chr2
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr5	15239719	fCotGob3_chr5
fCotGob3_chr7	11534840	fCotGob3_chr7
fCotGob3_chr8	11716268	fCotGob3_chr8
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr22	11304556	fCotGob3_chr22
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_300arrow_ctg1	52870	fCotGob3_fCotGob3_300arrow_ctg1
fCotGob3_fCotGob3_332arrow_ctg1	273004	fCotGob3_fCotGob3_332arrow_ctg1
fCotGob3_fCotGob3_379arrow_ctg1	37132	fCotGob3_fCotGob3_379arrow_ctg1
fCotGob3_fCotGob3_417arrow_ctg1	34963	fCotGob3_fCotGob3_417arrow_ctg1
fCotGob3_fCotGob3_64arrow_ctg1	403142	fCotGob3_fCotGob3_64arrow_ctg1
fCotGob3_fCotGob3_92arrow_ctg1	50049	fCotGob3_fCotGob3_92arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr2	6924416	fGouWil2_chr2
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr7	20272378	fGouWil2_chr7
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr15	18513505	fGouWil2_chr15
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr22	17338308	fGouWil2_chr22
fGouWil2_chr24	12975636	fGouWil2_chr24
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr2	5724603	fMasArm1_chr2
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr7	13356603	fMasArm1_chr7
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr15	12037531	fMasArm1_chr15
fMasArm1_chr22	11643006	fMasArm1_chr22
fMasArm1_chr24	10664311	fMasArm1_chr24
fMasArm1_Contig12arrow_ctg1	559473	fMasArm1_Contig12arrow_ctg1
mLynCan4_chrA3	69915584	mLynCan4_chrA3
mLynCan4_chrB2	76376592	mLynCan4_chrB2
mLynCan4_chrB3	73053008	mLynCan4_chrB3
mLynCan4_chrC1	110477330	mLynCan4_chrC1
mLynCan4_chrD4	46722854	mLynCan4_chrD4
mOrnAna1_chr1	93253008	mOrnAna1_chr1
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr4	68047194	mOrnAna1_chr4
mOrnAna1_chr5	55146515	mOrnAna1_chr5
mOrnAna1_chr8	35474907	mOrnAna1_chr8
mOrnAna1_chr9	30930611	mOrnAna1_chr9
mOrnAna1_chr12	30228024	mOrnAna1_chr12
mOrnAna1_chr14	26444703	mOrnAna1_chr14
mOrnAna1_chr15	13187509	mOrnAna1_chr15
mOrnAna1_chr16	23198637	mOrnAna1_chr16
mOrnAna1_chr18	22342250	mOrnAna1_chr18
mOrnAna1_chr19	17560270	mOrnAna1_chr19
mOrnAna1_chr21	12257429	mOrnAna1_chr21
mPhyDis1_chr1	109215071	mPhyDis1_chr1
mPhyDis1_chr4	104928251	mPhyDis1_chr4
mPhyDis1_chr5	87574110	mPhyDis1_chr5
mPhyDis1_chr9	52843984	mPhyDis1_chr9
mPhyDis1_chr12	38979755	mPhyDis1_chr12
mPhyDis1_chr13	38519993	mPhyDis1_chr13
mRhiFer1_chr3	52150368	mRhiFer1_chr3
mRhiFer1_chr6	50576792	mRhiFer1_chr6
mRhiFer1_chr9	47251211	mRhiFer1_chr9
mRhiFer1_chr23	22771893	mRhiFer1_chr23
mRhiFer1_chr25	20170404	mRhiFer1_chr25
mRhiFer1_chr28	8332144	mRhiFer1_chr28
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr3	112571524	rGopEvg1_chr3
rGopEvg1_chr4	77959320	rGopEvg1_chr4
rGopEvg1_chr5	73712574	rGopEvg1_chr5
rGopEvg1_chr10	43246753	rGopEvg1_chr10
rGopEvg1_chr13	17026189	rGopEvg1_chr13
rGopEvg1_chr14	17011897	rGopEvg1_chr14
rGopEvg1_chr18	11583386	rGopEvg1_chr18
rGopEvg1_scaffold_32_arrow_ctg1	3426484	rGopEvg1_scaffold_32_arrow_ctg1
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr5	57817621	sAmbRad1_chr5
sAmbRad1_chr8	41817143	sAmbRad1_chr8
sAmbRad1_chr10	35047381	sAmbRad1_chr10
sAmbRad1_chr23	21075475	sAmbRad1_chr23
sAmbRad1_chr25	19119878	sAmbRad1_chr25
sAmbRad1_chr31	16114275	sAmbRad1_chr31
sAmbRad1_chr34	13384100	sAmbRad1_chr34
sAmbRad1_scaffold_414_ctg1	85850	sAmbRad1_scaffold_414_ctg1
