BuscoID,BUSCO_hg38,BUSCO_aRhiBiv1,BUSCO_bCalAnn1,BUSCO_bStrHab1,BUSCO_bTaeGut2,BUSCO_fAnaTes1,BUSCO_fArcCen1,BUSCO_fAstCal1,BUSCO_fCotGob3,BUSCO_fGouWil2,BUSCO_fMasArm1,BUSCO_mLynCan4,BUSCO_mOrnAna1,BUSCO_mPhyDis1,BUSCO_mRhiFer1,BUSCO_rGopEvg1,BUSCO_sAmbRad1
EOG090B027C,chr1&3815402,chr15&70747836,chr21&1717999,chr16&7160576,chr21&3602293,chr7&7697229,chr7&26980514,chr20&22232595,chr7&16227514,chr7&37481336,chr7&23997413,chrC1&2111145,chr5&74927838,chr5&1793800,chr9&2174337,chr18&19494670,chr31&21189243
EOG090B099H,chr1&3857604,chr15&70740711,chr21&1723459,chr16&7157166,chr21&3616508,chr7&7683429,chr7&27031719,chr20&22219004,chr7&16269534,chr7&37424502,chr7&23980979,chrC1&2144599,chr5&74894867,chr5&1816738,chr9&2211354,chr18&19523546,chr31&21278978
EOG090B0BYH,chr1&6225080,chr15&68929514,chr21&2001745,chr16&6860857,chr21&3917914,chr7&2115004,chr7&36100896,chr20&12517124,chr2&2253894,chr7&19725990,chr7&18688466,chrC1&3925396,chr5&72544532,chr5&2920375,chr9&3766732,chr18&20988954,chr31&25071722
EOG090B066X,chr1&6525854,chr15&68110902,chr21&2038381,chr16&6820834,chr21&3958555,chr7&21741856,chr7&7602581,LS419890.1&32356,chr7&2854992,chr7&3526761,chr7&9755002,chrC1&4133137,chr5&72059693,chr5&3115635,chr9&3989746,chr18&21459249,chr31&26320305
EOG090B06F2,chr1&9588931,chr15&77503789,chr21&4280562,chr16&4376060,chr21&998304,chr7&11169029,chr7&22314255,chr20&26627152,chr7&12475096,chr7&32638605,chr7&15815380,chrC1&6578814,chr5&68729005,chr5&5284012,chr9&6321852,chr18&12449120,chr31&11117602
EOG090B0ILM,chr1&9930399,chr15&77751628,chr21&3044684,chr16&4214936,chr21&1130795,chr7&11072513,chr7&22460809,chr20&26509443,chr7&12590318,chr7&32808561,chr7&15720157,chrC1&6867806,chr5&68385928,chr5&5516316,chr9&6556157,chr18&12165078,chr31&10799135
EOG090B098N,chr1&10461490,chr15&78148724,chr21&2881623,chr16&4034446,chr21&1273425,chr7&10700942,chr7&22869461,chr20&26097235,chr7&12972095,chr7&33365755,chr7&15361461,chrC1&7340434,chr5&67914597,chr5&5902308,chr9&6955718,chr18&11850604,chr31&9902708
EOG090B09M4,chr1&11273532,chr15&80202715,chr21&6612923,chr16&3504482,chr21&5292566,chr7&6867391,chr7&28164337,chr20&21060029,chr7&17268865,chr7&35845748,chr7&23199442,chrC1&8013465,chr5&67110705,chr5&6522951,chr9&7576912,chr18&11121408,chr31&19452875
EOG090B0DNB,chr1&11674775,chr15&80256252,chr21&6831752,chr16&3300173,chr21&5159052,chr7&7149178,chr7&27837866,chr20&21396886,chr7&16936172,chr7&36447066,chr7&23476017,chrC1&8350857,chr5&66628561,chr5&6818017,chr9&7890937,chr18&10781666,chr31&26863924
EOG090B0932,chr1&12021727,chr11&55769881,chr21&6996034,chr16&3122140,chr21&4991318,chr5&15753455,chr5&22320134,chr5&17214758,chr5&14008079,chr5&14550089,chr5&10832997,chrC1&8638814,chr5&66198250,chr5&7060369,chr9&8178231,chr18&10479921,chr31&26545392
EOG090B01DA,chr1&15701941,chr15&57896712,chr21&5316253,chr16&1866772,chr21&5861424,chr7&7006330,chr7&28006733,chr20&21210307,chr7&17099171,chr7&36161186,chr7&23328994,chrC1&11181899,chr5&63368691,chr5&9148320,chr9&10518500,chr18&5130254,chr31&28939017
EOG090B08IR,chr1&19339530,chr15&62789086,chr21&4464263,chr16&988199,super_scaffold_21random&1120346,chr5&13251950,chr5&18512620,chr5&19976899,chr5&17189679,chr5&18616342,chr5&28305298,chrC1&13801009,chr5&59516627,chr10&46489566,chr9&12984355,chr18&7983010,chr31&28360352
EOG090B04MJ,chr1&19683040,chr15&63021159,chr21&4367032,chr16&895635,super_scaffold_21random&1024404,chr7&6198146,chr7&29044174,chr20&19962055,chr7&18064190,chr7&27581079,chr7&22554702,chrC1&14103366,chr5&59132995,chr5&11754077,chr9&13257035,chr18&8221156,chr31&28197976
EOG090B09XF,chr1&19882514,chr15&63111701,chr21&4345820,chr16&874481,super_scaffold_21random&1006161,chr7&6789971,chr7&28271689,chr20&20865911,chr7&17371556,chr7&26280788,chr7&23132624,chrC1&14254338,chr5&59034073,chr5&11885407,chr9&13392486,chr18&8293969,chr31&28149481
EOG090B0651,chr1&20652379,chr15&58036294,chr21&5370045,chr16&1921131,chr21&5826702,chr7&7020535,chr7&28001500,chr20&21227058,chr7&17092209,chr7&36175857,chr7&23341371,chrC1&14854826,chr5&77668162,chr5&12449836,chr9&13934458,chr18&5020883,chr31&28533180
EOG090B076T,chr1&20744797,chr15&58169226,chr21&5393618,chr16&1948495,chr21&5794938,chr5&20531075,chr5&29659775,chr5&9340987,chr5&24137613,chr5&6868712,chr5&5778649,chrC1&14937447,chr5&77807541,chr5&12524945,chr9&14011796,chr18&92409,chr31&20979163
EOG090B014N,chr1&21679417,chr15&59563202,chr21&5617816,chr16&2179540,chr21&5570641,chr5&2798067,chr5&480581,chr5&37760478,chr5&984090,chr5&40911111,chr5&15856821,chrC1&15655547,chr5&78691556,chr5&13187458,chr9&14654475,chr18&1426402,chr31&17784180
EOG090B02B1,chr1&23030397,chr11&82521064,chr23&5772078,chr12&1520367,chr23&1367156,chr22&8943753,chr22&15262597,chr19&21331524,chr22&7308217,chr22&34505116,chr22&7885357,chrC1&16783357,chr16&45652179,chr5&14208796,chr9&15680762,chr20&19206071,chr27&4060992
EOG090B05U9,chr1&26790816,chr11&88543743,chr23&1381159,chr12&4565283,chr23&5186617,chr16&14437342,chr16&18905858,chr11&7473096,chr16&14250738,chr16&18953939,chr16&2149711,chrC1&19836008,chr16&44578069,chr5&16975488,chr9&18352331,chr20&10239264,chr27&10561779
EOG090B066W,chr1&26891010,chr11&88410957,chr23&1344894,chr12&4531737,chr23&5215731,chr16&14468746,chr16&18876458,chr11&7501242,chr16&14288542,chr16&18994439,chr16&2175272,chrC1&19907617,chr16&44623492,chr5&17044286,chr9&18417715,chr20&10340660,chr27&10784915
EOG090B0CH3,chr1&26921849,chr11&88373104,chr23&1330846,chr12&4519418,chr23&5224445,chr11&19510110,chr11&29602150,chr22&26133214,chr11&20418885,chr11&22781101,chr11&4649935,chrC1&19930386,chr16&44642288,chr5&17070223,chr9&18438893,chr20&10361263,chr27&10809498
EOG090B02Y1,chr1&27264025,chr11&88006324,chr23&1234113,chr12&331547,chr23&5314909,chr16&14486925,chr16&18831142,chr11&7526851,chr16&14319741,chr16&19039459,chr16&2201040,chrC1&20164149,chr16&44770562,chr5&17292881,chr9&18671117,chr20&10618981,chr27&10881442
EOG090B065U,chr1&27935184,chr11&81256853,chr23&5950385,chr12&4316223,chr23&5803139,chr16&7726441,chr16&29250485,chr11&25108110,chr16&4560717,chr16&4426218,chr16&18920858,chrC1&20693777,chr16&45834823,chr5&17802358,chr9&19154272,chr20&18482237,chr27&4540486
EOG090B0DRP,chr1&28330663,chr11&87215467,chrZ&49628021,chrZ&75931638,chrZ&64241317,chr16&7755620,chr16&29209601,chr11&25031809,chr16&4520314,chr16&4484675,chr16&18888968,chrC1&21015142,chr16&45338673,chr5&18087886,chr9&19453613,chr6&88631021,chr27&1714175
EOG090B07B6,chr1&28529867,chr11&87078146,chr23&940044,chr12&590420,chr23&5581649,chr16&14369742,chr16&19030671,chr11&7360610,chr16&14160124,chr16&18825855,chr16&2067382,chrC1&21176659,chr16&45407294,chr5&18223828,chr9&19575348,chr20&11373357,chr27&7144239
EOG090B04N6,chr1&35559125,chr11&96086985,chr23&3379807,chr12&6133273,chr23&2632514,chr11&6406012,chr11&10156134,chr22&9030922,chr11&12836908,chr11&4224551,chr11&16963199,chrC1&26942988,chr16&39673519,chr5&23234137,chr9&24664921,chr20&3752033,chr27&14656993
EOG090B01JZ,chr1&35736496,chr11&95763735,chr23&3283750,chr12&6019880,chr23&2524945,chr11&6461554,chr11&10333970,chr22&9113609,chr11&12770952,chr11&4302285,chr11&16903936,chrC1&27095895,chr16&39477120,chr5&23393339,chr9&24800082,chr20&3451919,chr27&14698329
EOG090B0769,chr1&36084922,chr11&95529548,chr23&3200318,chr12&5928744,chr23&2439930,chr11&5821060,chr11&8991865,chr22&7879439,chr11&16837226,chr11&3340898,chr11&17582981,chrC1&27419202,chr16&39292437,chr5&23672735,chr9&25045380,chr20&3280966,chr27&15837871
EOG090B0AA8,chr1&36088905,chr11&95515602,chr23&3196332,chr12&5925147,chr23&2434899,chr12&15197994,chr22&24862177,chr19&11926173,chr22&17103040,chr22&3793279,chr22&16503864,chrC1&27422795,chr16&39282815,chr5&23693005,chr9&25068300,chr20&3273724,chr27&14331792
EOG090B06G7,chr1&36341755,chr11&94777180,chr23&3076122,chr12&5789475,chr23&2311174,chr16&7280118,chr16&29904682,chr11&25696272,chr16&5042414,chr16&3479892,chr16&19375939,chrC1&27633487,chr16&39041706,chr5&23881997,chr9&25251415,chr20&2773918,chr27&28029345
EOG090B0K2H,chr1&37501254,chr11&93271324,chr23&2744091,chr12&5370410,chr23&1918214,chr11&6340904,chr11&10051683,chr22&8927416,chr11&12914942,chr11&4135401,chr11&17029006,chrC1&28612964,chr16&38242810,chr5&24830328,chr9&26196443,chr20&1672112,chr27&34639498
EOG090B0C4X,chr1&37537748,chr11&93259642,chr23&2740203,chr12&5366323,chr23&1912895,chr16&7132964,chr16&30140619,chr11&25883330,chr16&5188839,chr16&5489997,chr16&19527360,chrC1&28647955,chr16&38227376,chr5&24856515,chr9&26221440,chr20&1658923,chr27&34662413
EOG090B0G4S,chr1&37803925,chr11&92474068,chr23&2346855,chr12&5159105,chr23&1763704,chr16&7686820,chr16&29291220,chr11&25144051,chr16&4599811,chr16&4328340,chr16&18957779,chrC1&28862643,chr16&37993988,chr5&25047883,chr9&26412550,chr20&1107568,chr27&28397632
EOG090B065A,chr1&39841744,chr11&102214591,chr23&665554,chr12&1825215,chr23&4253765,chr11&16129002,chr11&25204277,chr22&23610027,chr11&1735026,chr11&19313708,chr11&7222013,chrC1&30504109,chr16&42589441,chr5&26648035,chr9&27914804,chr20&7872644,chr27&26612716
EOG090B0BON,chr1&43164443,chr10&127798378,chr8&19646223,chr8&50782147,chr8&16359677,chr4&20309469,chr4&9816120,chr17&12236307,chr4&12588605,chr4&7419075,chr4&5392408,chrC1&33476721,chr17&21979913,chr5&29327313,chr9&30443631,chr8&113896119,chr10&40522845
EOG090B0COA,chr1&43375683,chr10&126923122,chr8&19734655,chr8&50875256,chr8&16251489,chr4&3766051,chr4&1162975,chr23&14866768,chr4&3769501,chr4&34006693,chr4&17629687,chrC1&33673116,chr17&22060006,chr5&29502240,chr9&30606854,chr8&113360749,chr10&52591402
EOG090B0B6W,chr1&43451019,chr10&126440980,chr8&19816522,chr8&50957167,chr8&16194158,chr4&1208381,chr4&3569668,chr15&38995781,chr4&972101,chr4&38774876,chr4&13838755,chrC1&33732004,chr18&4426162,chr5&29559847,chr9&30671112,chr8&113273490,chr10&52344996
EOG090B08RF,chr1&43970176,chr10&124312914,chr8&20516354,chr8&51687111,chr8&15505119,chr2&34239161,chr20&13690630,chr9&10801967,chr20&13504830,chr20&5998572,Super_Scaffold_26_ctg1&1106502,chrC1&34176755,chr18&3601195,chr5&29977100,chr9&31082418,chr8&111756722,chr10&48371508
EOG090B06WO,chr1&44213754,chr10&120461586,chr8&20584634,chr8&51764455,chr8&15403820,chr4&13504254,chr4&19438664,chr23&678991,chr4&27629915,chr4&18063872,chr4&27197938,chrC1&34381578,chr18&3390141,chr5&30172318,chr9&31240304,chr8&111400391,chr10&44222479
EOG090B0DK8,chr1&44654559,chr10&121910166,chr8&21010216,chr8&52184583,chr8&15017141,chr17&4869451,chr17&6499729,chr18&29038257,chr17&17479595,chr17&10035020,chr17&6774142,chrC1&34799820,chr18&3046180,chr5&30579952,chr9&31629820,chr8&110680794,chr10&40256057
EOG090B08C2,chr1&45012266,chr10&123048904,chr8&21239627,chr8&52420487,chr8&14799956,chr17&4478084,chr17&6296043,chr18&29234021,chr17&17308098,chr17&9853333,chr17&6918131,chrC1&35119914,chr18&2697482,chr5&30885386,chr9&31920345,chr8&109960695,chr10&46800782
EOG090B04FN,chr1&45331125,chr10&123329102,chr8&21359437,chr8&52542835,chr8&14679583,chr4&10744053,chr4&23371554,chr23&2023140,chr4&24550791,chr4&22070587,chr4&24408693,chrC1&35462153,chr18&2500043,chr5&31054388,chr9&32138645,chr8&109726372,chr10&43883523
EOG090B05A9,chr1&45340253,chr10&123374761,chr8&21364479,chr8&52547941,chr8&14674499,chr17&4600079,chr17&6480775,chr18&29041231,chr17&17472579,chr17&10025179,chr17&6777524,chrC1&35469076,chr18&2492198,chr5&31059923,chr9&32145135,chr8&109712381,chr10&43905631
EOG090B0ES0,chr1&45500333,chr10&123710863,chr8&21492590,chr8&52674963,chr8&14560062,chr4&8099993,chr4&26725982,chr23&6325953,chr4&21949336,chr4&25183889,chr4&22060723,chrC1&35614759,chr18&2405225,chr5&31188043,chr9&32273611,chr8&109492786,chr10&44161700
EOG090B02YV,chr1&46189270,chr10&118363213,chr8&21924479,chr8&53138755,chr8&14120709,chr4&24182212,chr4&31972381,chr17&5072287,chr4&7839639,chr4&1223691,chr4&1666448,chrC1&36347985,chr18&1483601,chr5&31729635,chr9&32821484,chr8&108216356,chr10&40830079
EOG090B02KB,chr1&46248406,chr10&117980805,chr8&22029637,chr8&53244558,chr8&14016827,chr4&809025,chr16&23469980,chr17&3433495,chr4&454919,chr4&38277721,chr4&12995718,chrC1&36387307,chr18&1529723,chr5&31762944,chr9&32851660,chr8&107964583,chr10&49634634
EOG090B0BA1,chr1&46635776,chr10&116847041,chr8&22362405,chr8&53596037,chr8&13696292,chr4&23927851,chr4&31057560,chr17&5889462,chr4&7993609,chr4&2244985,chr4&1853633,chrC1&36712870,chr18&1783795,chr5&32070680,chr9&33151818,chr8&107274322,chr10&49597521
EOG090B0CBQ,chr1&52687720,chr10&109960284,chr8&25314825,chr8&56698375,chr8&10864214,chr4&8047358,chr4&26803916,chr23&6402142,chr4&21874812,chr4&25075502,chr4&22006474,chrC1&42126971,chr17&37556625,chr5&37149001,chr9&37636379,chr8&102220860,chr10&40174201
EOG090B05IS,chr1&53069856,chr10&109791479,chr8&25386579,chr8&56772976,chr8&10787004,chr4&3715181,chr4&1236787,chr23&14941719,chr4&3680833,chr4&33664444,chr4&17582335,chrC1&42521864,chr17&37830166,chr5&37462288,chr9&37949504,chr8&102035271,chr10&32781466
EOG090B06X6,chr1&53951922,chr10&108684594,chr8&26002511,chr8&57449359,chr8&10203358,chr17&16503588,chr17&24727376,chr18&11335850,chr17&6091296,chr17&20982441,chr17&18684533,chrC1&43337610,chr18&44428724,chr5&38179570,chr9&38672750,chr8&100893535,chr10&13510970
EOG090B0E8F,chr1&54054333,chr10&108637787,chr8&26028859,chr8&57476978,chr8&10179480,chr17&16496002,chr17&24719909,chr18&11344894,chr17&6098746,chr17&20962987,chr17&18678467,chrC1&43416393,chr18&44404110,chr5&38273749,chr9&38740047,chr8&100830210,chr10&13480490
EOG090B04IK,chr1&54132968,chr10&108591496,chr2&21015560,chr8&57494759,chr8&10165427,chr17&16487531,chr17&24705765,chr18&11346583,chr17&6100535,chr17&20953549,chr17&18674268,chrC1&43487143,chr18&44392910,chr5&38335154,chr9&38800372,chr8&100758010,chr10&13457670
EOG090B07JY,chr1&54200244,chr10&108516608,chr8&26065638,chr8&57517240,chr8&10146541,chr17&941711,chr17&5952674,chr18&30679984,chr17&22599626,chr17&24051015,chr17&2387283,chrC1&43535067,chr18&44369356,chr5&38387186,chr9&38845263,chr8&100718391,chr10&13413828
EOG090B04CY,chr1&54852233,chr10&108029022,chr8&26185829,chr8&57640888,chr8&10027789,chr4&7237936,chr4&28062325,chr23&7430250,chr4&21054857,chr4&23668991,chr4&21254075,chrC1&44066688,chr18&44200023,chr5&38862624,chr9&39340081,chr8&100254050,chr10&48691940
EOG090B004X,chr1&55069045,chr10&107681758,chr8&26230831,chr8&57684585,chr8&9933540,chr4&7266104,chr4&27998406,chr23&7371233,chr4&21087189,chr4&23733317,chr4&21284219,chrC1&44168634,chr18&10223397,chr5&38981390,chr9&39442596,chr8&100022959,chr10&48423886
EOG090B06T4,chr1&58486087,chr10&105605093,chr8&27405774,chr8&58910714,chr8&8849071,chr4&7607085,chr4&27472406,chr23&6940333,chr4&21504560,chr4&24440285,chr4&21638863,chrC1&47205459,chr18&43716577,chr5&41844550,chr9&42311903,chr8&98168578,chr10&33730597
EOG090B01ON,chr1&58659997,chr10&105532896,chr8&27434982,chr8&58946011,chr8&8823578,chr4&7619224,chr4&27461965,chr23&6933286,chr4&21514067,chr4&24453347,chr4&21650043,chrC1&47362629,chr18&43687791,chr5&41985348,chr9&42434229,chr8&98110954,chr10&33803985
EOG090B06NX,chr1&62437245,chr10&102846029,chr8&28614399,chr8&60243989,chr8&7643834,chr4&19994305,chr4&10195696,chr17&12685456,chr4&12935901,chr4&10215941,chr4&5680663,chrC1&50821402,chr18&42651901,chr5&45301863,chr9&45626075,chr8&96049958,chr10&19071654
EOG090B03RD,chr1&63525573,chr10&101967823,chr8&29000591,chr8&60672972,chr8&7280951,chr4&19806923,chr4&10464867,chr17&12951549,chr4&13168390,chr4&9891370,chr4&5892624,chrC1&51839574,chr18&41949935,chr5&46209931,chr9&46471481,chr8&95386544,chr10&19635296
EOG090B07BU,chr1&66930392,chr10&99307346,chr8&29841833,chr8&61699526,chr8&6448606,chr17&7033638,chr9&10221726,chr18&25182423,chr9&14299723,chr17&14209244,chr17&9070285,chrC1&54976602,chr18&40208086,chr5&49173322,chr9&49222175,chr8&93466057,chr10&29993284
EOG090B067T,chr1&77913642,chr10&92068179,chr8&18921942,chr8&50002134,chr8&17063021,chr4&13621399,chr4&19296293,chr23&539312,chr4&20286833,chr4&17887807,chr4&27323231,chrC1&64929028,chr4&110145787,chr5&58082588,chr9&57850112,chr8&87777052,chr10&62734475
EOG090B08IQ,chr1&78492744,scaffold_122_arrow_ctg1&6587,chr8&18739258,chr8&49799263,chr8&17230124,chr4&10941048,chr4&23143533,chr23&2284882,chr4&24782939,chr4&21766723,chr4&24609454,chrC1&65475471,chr4&109631442,chr5&58594771,chr9&58309559,chr8&87376565,chr10&63002524
EOG090B08GT,chr1&84365421,chr10&86776574,chr8&16633076,chr8&47574251,chr8&19278151,chr4&14067786,chr4&18707048,chr15&37926885,chr4&19797682,chr4&17250914,chr4&11813696,chrC1&70636412,chr4&104055581,chr5&63594092,chr9&63303626,chr8&84060648,chr10&65650877
EOG090B0HS9,chr1&85267627,chr10&85825126,chr8&16307377,chr8&12005910,chr8&19594574,chr17&14637765,chr17&21431466,chr18&14517096,chr17&8216917,chr17&4925074,chr17&16762495,chrC1&71481122,chr4&103051922,chr5&64351560,chr9&64032897,chr8&83403851,chr10&68699715
EOG090B0B52,chr1&85321452,chr10&85718002,chr8&16278846,chr8&12018249,chr8&19606603,chr4&20412873,chr4&9643090,chr17&12052466,chr4&12445667,chr4&7602618,chr4&5259082,chrB2&30893649,chr4&102957056,chr5&64398509,chr9&64078688,chr8&83347860,chr10&68723028
EOG090B088A,chr1&85670175,chr10&85283096,chr8&16173470,chr8&12133230,chr8&19717530,chr4&20483528,chr4&9527806,chr17&11935937,chr4&12352901,chr4&7717337,chr4&5184590,chrC1&71874424,chr4&102503474,chr5&64730311,chr9&64411713,chr8&83135070,chr10&68861802
EOG090B0JIN,chr1&87332016,chr10&83531886,chr8&15728472,chr8&3400816,chr8&20152889,chr4&4575151,chr4&36950118,chr23&13846840,chr4&4733426,chr4&36489450,chr4&18498789,chrC1&73379974,chr4&100624124,chr5&66167229,chr9&65706447,chr8&82067846,chr10&60551320
EOG090B09U6,chr1&88853213,chr10&82094565,chr8&15163771,chr8&3971155,chr8&20725429,chr17&7837118,chr19&29274057,chr18&23903359,chr17&21665608,chr17&2729043,chr17&9878304,chrC1&74811848,chr4&99004021,chr5&67581394,chr9&67069484,chr8&81159737,chr10&59683336
EOG090B03Z3,chr1&92299074,chr10&78203789,chr8&14099412,chr8&5024906,chr8&21753137,chr17&7897710,chr17&11789949,chr18&23819511,chr17&21748613,chr17&2836849,chr17&9952114,chrC1&77879686,chr4&96004388,chr5&70819982,chr9&69723880,chr8&79272250,chr10&57620347
EOG090B037M,chr1&94446969,chr10&30210992,chr8&13451657,chr8&3066062,chr8&22384217,chr2&28156296,chr20&8985728,chr9&3949574,chr20&1573624,chr20&11048374,chr20&3167884,chrC1&79836901,chr4&93810602,chr5&72651384,chr9&71392556,chr8&77894315,chr10&56182296
EOG090B08CP,chr1&108648566,chr10&53706185,chr8&9572464,chr8&13759573,chr8&26173451,chr4&21299678,chr4&8304299,chr17&10599845,chr4&11369277,chr4&6803585,chr4&4383054,chrC1&92251044,chr4&82468336,chr14&35360992,chr22&41023949,chr8&70341460,chr13&30055384
EOG090B071D,chr1&110363766,chr16&18426031,chr18&51304,chr18&5240600,chr26&4775709,chr7&11849362,chr7&21374572,chr20&27519591,chr7&11682070,chr7&31227933,chr7&16530771,chrC1&93789697,chr7&70056356,chr14&36591644,chr22&42319588,chr4&135844442,chr18&33860806
EOG090B05WB,chr1&111187605,chr12&12616961,chr26&3614975,chr18&6396276,chr26&6483273,chr7&2275414,chr7&35655396,chr20&11795267,chr2&2635963,chr7&20342791,chr7&18832793,chrC1&94556416,chr7&66302958,chr14&37063051,chr22&42831989,chr4&133107454,chr24&25538297
EOG090B0596,chr1&113895065,chr12&10091827,chr26&1341255,chr18&4162191,chr26&1312511,chr7&3575454,chr7&34960610,chr20&14677706,chr7&21800202,chr7&24172640,chr7&19868313,chrC1&96941453,chr7&55976541,chr14&38957493,chr22&44778240,chr4&148600131,chr24&8089527
EOG090B055C,chr1&117870569,chr15&48465459,chr1&84645250,chr2&11368748,chr1&26172501,chr21&5497872,chr21&29163304,chr16&6826092,chr21&22468234,chr21&34652999,chr21&21897742,chrC1&100509885,chr16&199261,chr14&41946979,chr22&47693734,chr1&212877438,chr14&58918106
EOG090B01TU,chr1&117933320,chr15&48426725,chr1&84667142,chr2&11343125,chr1&26195729,chr21&5527123,chr21&29129069,chr16&6851828,chr21&22497673,chr21&34699783,chr21&21882902,chrC1&100572365,chr16&220107,chr14&42009466,chr22&47746640,chr1&212929003,chr14&58834483
EOG090B08R0,chr1&119025531,chr15&47752408,chr1&85097400,chr2&10891958,chr1&26602188,chr21&5651384,chr21&28974233,chr16&7024148,chr21&22642989,chr21&35222949,chr21&21745133,chrC1&101543499,chr16&481682,chr14&42857923,chr22&48503672,chr1&213850678,chr14&58379056
EOG090B0G4H,chr1&161749802,chr10&29683551,chr1&84598485,chr2&11519853,chr1&25571742,chr17&743104,chr17&4793243,chr18&32578713,chr17&22466880,chr17&1341414,chr17&4458604,chrF1&63159997,chr16&1009012,chr14&27197291,chr22&2537619,chr1&212773759,chr10&14702592
EOG090B0A6X,chr1&166857567,chr10&59340795,chr8&1849131,chr8&43592046,chr8&1089539,chr17&6648497,chr17&9818823,chr18&25698895,chr17&20069047,chr17&13549175,chr17&8680080,chrF1&9579125,chr16&3095266,chr14&25336811,chr22&4906168,chr8&46759649,chr10&5613117
EOG090B01NJ,chr1&167093732,chr15&44551353,chr1&93314888,chr2&3132741,chr1&14971301,chr2&1357784,chr2&9976560,chr23&20931328,fCotGob3_259arrow_ctg1&66206,chr2&13535823,chr2&11285932,chrF1&9834065,chr16&3228570,chr14&25186491,chr22&5043681,chr1&190186084,chr14&55569669
EOG090B0DRM,chr1&168179078,chr15&35190769,chr1&82992924,chr2&20475352,chr1&20462334,chr14&192424,chr14&38053565,chr10&604657,chr14&2868383,chr14&24702525,chr14&4188096,chrF1&10774687,chr16&3682906,chr3&157631725,chr22&5612692,chr1&203784492,chr14&34977080
EOG090B084C,chr1&169298520,chr15&34372048,chr1&82556805,chr2&20837057,chr1&20856547,chr4&5484475,chr4&38344651,chr23&12563649,chr4&28107439,chr4&32708181,chr4&19430118,chrF1&11696157,chr16&3985190,chr14&24263581,chr22&6100943,chr1&204447900,chr14&31547624
