BuscoID,BUSCO_hg38,BUSCO_aRhiBiv1,BUSCO_bCalAnn1,BUSCO_bStrHab1,BUSCO_bTaeGut2,BUSCO_fAnaTes1,BUSCO_fArcCen1,BUSCO_fAstCal1,BUSCO_fCotGob3,BUSCO_fGouWil2,BUSCO_fMasArm1,BUSCO_mLynCan4,BUSCO_mOrnAna1,BUSCO_mPhyDis1,BUSCO_mRhiFer1,BUSCO_rGopEvg1,BUSCO_sAmbRad1
EOG090B0FY1,,chr11&99161683,chr23&4069805,chr12&6938918,,chr11&15664307,chr11&24474542,chr22&22909807,chr11&2304982,chr11&18549961,chr11&7620251,chrC1&23561180,chr16&41080348,chr5&20203556,chr9&21673335,chr20&5913453,chr27&11485600
EOG090B09FV,,,,,,,,,,,,,,,,,
EOG090B0BRF,,chr5&36825807,chr1&190562560,chr2&115566767,chr1&34019682,chr13&5015462,,chr14&7564255,chr13&17727187,chr13&4366015,chr13&21466663,,chr20&28770432,chr6&112654514,chr11&56377457,chr1&15402695,chr6&35754569
EOG090B0G2W,,chr9&34571949,,,,,,chr7&58709774,chr6&13767488,,,,chr1&186287680,,chr10&47229,,
EOG090B04EY,,chr17&21413666,chr5&9178363,chr4&56237839,chr5&4335320,chr6&6826030,chr6&29240551,chr7&65506292,chr6&8224046,chr6&51911012,chr6&18774025,chrD1&66305530,chr3&13537188,chr6&128505791,chr11&42784389,chr4&103254530,chr20&20812369
EOG090B02MH,,chr5&247832683,chr22&335062,chr21&3835598,scaffold_187_arrow_ctg1&1706831,chr9&17683629,chr9&6121507,chr12&10498135,chr9&17385849,chr9&6146876,,chrB1&40582451,chr5&40430581,chr11&69608543,,chr19&1524648,chr39&16277879
EOG090B0738,,,chr3&16788040,chr10&27332071,chr3&105182153,chr12&16160374,,chr19&13596767,chr22&15691962,,chr22&17615693,,,,,,chr5&6944444
EOG090B0BO4,,chr1&297065190,chr4A&41728470,chr7&54128402,chr4&47815559,chr1&10269997,,chr6&23975908,,chr1&22319085,chr1&7995992,chrB1&115437082,chr12&38417874,chr1&83240558,chr5&57564530,chr5&113398597,chr1&54195311
EOG090B0GAS,,chr10&109680500,chr8&25474093,chr8&56870661,chr8&10710491,chr17&6937466,chr17&10203339,chr18&25308481,chr17&20490386,chr17&14053098,chr17&8972577,chrC1&42652810,chr17&37372798,chr5&37597235,chr9&38076692,chr8&101882737,chr10&32690285
EOG090B0GBS,,chr9&161507724,chr9&9952801,chr8&9393085,chr9&3801985,chr13&363564,chr13&11243785,chr14&506161,chr13&398411,chr13&3032428,chr13&24801300,chrC1&110422503,chr1&128167707,chr4&102201754,scaffold_84_arrow_ctg1&936439,chr9&48817842,chr13&29756422
EOG090B07PJ,,,,,,,,,,,,,,,,,
EOG090B021Y,,,,,chr24&6640734,chr13&17364950,chr13&26207738,chr16&15494684,chr13&10830151,chr21&16907815,chr13&9378190,,chr18&7776266,chr6&86312577,,,
EOG090B08EY,,chr4&427214805,chr12&20932043,chr11&38664578,chr12&422640,chr5&24196569,chr5&35702261,chr5&3608717,,chr5&1542944,chr5&2134188,chrA2&51553820,chrX1&54495654,chr7&41361700,,chr7&112522131,chr18&20679568
EOG090B0FK9,,chr6&254974895,chr7&35808538,chr5&12452958,chr7&21750149,chr9&19873559,chr9&1647920,chr12&29552511,chr9&20022711,chr9&9662297,chr9&19682705,,chr7&78179714,,chr14&36112215,chr11&21793079,chr32&177559
EOG090B04EU,,,chr12&9983798,chr11&38042487,chr12&11430218,chr5&12310434,chr5&17157063,chr5&21344117,chr5&18368485,chr5&20408135,chr5&27355587,,,,,chr7&107912107,chr18&27101511
EOG090B07GB,,,chr1&58991627,chr3&69336074,chr1A&57022316,chr6&6838216,chr6&29226666,chr7&65494477,chr6&8240050,chr6&51890982,chr6&18785638,chrA2&155576021,chr10&51572269,chr10&85071317,,chr1&258834840,chr19&3932686
EOG090B0DLV,,chr9&263389951,chr9&23573877,,,chr17&11077270,,chr18&19287839,,chr5&40641609,,chrA3&98047386,chr1&155633147,chr9&105318909,,chr9&22263110,
EOG090B0BX4,,chr13&24721799,chrZ&56709670,chrZ&38755448,chrZ&26459526,chr22&11749572,chr12&9806209,chr7&23795059,chr12&16182934,chr12&20473873,chr12&11449514,chrB3&40616127,chrX5&30908106,,,chr6&58926094,chr3&28579543
EOG090B0FDK,,,chr6&29438644,chr5&76102581,chr6&30787250,,chr15&25172822,chr13&6552329,chr15&6886867,chr15&24753840,chr15&7259044,,chr16&25190652,,,chr7&16372527,
EOG090B0FDF,,chr12&10748318,chr26&1235171,chr18&242346,chr26&3996954,chr7&6783033,chr7&28277210,chr20&20872085,chr7&17377559,chr7&26310576,chr7&23128432,chrC1&97525674,chr7&55476244,,chr22&45275498,chr4&149025531,chr24&6424261
EOG090B07MX,,chr3&321559824,chr3&69852962,chr6&14789537,chr3&44419819,chr24&10618306,chr24&15309312,chr15&9270392,chr24&8556853,chr24&22599488,chr24&13891499,,chr19&21491353,chr4&167833891,chr3&62651675,chr3&94521449,chr5&111089401
EOG090B0F2R,,,chr19&2811822,S16&407061,chr19&11424795,chr14&4616635,chr14&27037189,chr10&7593556,chr14&6167722,chr14&24128680,chr14&6687655,chrE1&28045196,chr17&11239175,chr8&95752053,chr21&27336818,chr17&22877355,chr28&24402622
EOG090B0FNT,,,,chr8&8464239,chr9&2642401,,chr20&14556267,,chr20&12763969,chr20&7532832,,,,chr11&685991,chr10&92271554,,chr13&23000452
EOG090B05NQ,,,chr1&145241259,chr2&68572243,chr1&77249293,chr21&7872840,chr21&25368477,chr16&12408828,chr21&19412463,chr21&18488749,chr21&19186818,,chr10&14736290,,,,chr6&86024487
EOG090B02YS,,,chr5A&13605748,chr4&43142208,chr5&32600758,chr22&8315183,chr22&16093815,chr19&20470413,chr22&6620047,chr22&13347265,chr22&7248825,,chr13&41573023,,chr6&68833116,chr4&57309558,chr9&29007811
EOG090B0DJ2,,chr6&107339115,chr7&20376556,chr5&20554218,chr7&14268371,chr21&12941598,chr21&17689054,chr16&19786023,chr21&18257366,chr21&12593946,chr21&14118184,chrC1&158246171,chr9&15935991,,,chr11&42133371,chr7&28861311
EOG090B0CIS,,chr4&98911305,chr5A&19726347,chr4&36757852,chr5&38593160,chr12&15004979,chr22&25181145,chr19&11579065,chr22&17379206,scaffold_55_arrow_ctg1&514680,chr22&16297026,chrB3&87924915,chr14&8424512,chr1&129274998,chr5&70193776,chr4&46561227,chr9&38502691
EOG090B05SY,,chr18&29753332,chr13&1431157,chr12&21675044,,chr10&4924820,chr10&26152720,chr2&20057688,chr10&20931556,chr10&27910246,chr10&24604590,chrA1&117550336,chrX2&1602758,chr13&14100849,,chr8&39350313,chr11&38441313
EOG090B0J15,,,chr2&40365815,chr1&138686606,chr2&40588943,chr16&16817382,chr16&15361581,chr11&10817905,chr16&17178892,chr16&20439423,chr16&4625366,,chr8&48165220,chr6&87675223,,chr2&73706237,chr2&57706688
EOG090B0DTK,,chr11&98878684,chr23&4004765,chr12&6867468,,chr11&11980147,chr11&19022688,chr22&17170159,chr11&6368990,chr11&12749698,chr11&11432276,chrC1&31274952,chr16&40935245,chr5&27340178,chr9&28493314,chr20&5656048,chr27&26235344
EOG090B065N,,chr2&726241870,chr2&131325389,chr1&20366836,chr2&131899886,chr16&20099106,chr16&10601097,chr11&15571117,chr16&21325130,chr16&24533100,chr16&8030208,,chr4&65483011,chr7&114496807,,chr2&260798585,chr4&2605986
EOG090B0A7R,,chr1&127524665,chr4A&20359939,chr7&31288008,chr4&29667620,chr1&17795685,chr1&28639428,chr6&12318636,,chr1&33047603,chr1&20831460,chrB1&20944167,chr12&254506,chr11&82833300,chr4&72516419,chr5&57802742,chr1&115503655
EOG090B031M,,,chr1&58616779,chr3&69653163,chr1A&57332706,chr23&248080,scaffold_52_ctg1&1085253,chr17&38452568,chr23&7403876,chr6&426216,chr23&1085196,chrA2&154912774,chr10&51877904,chr10&84479787,chr26&9008114,chr1&259358717,chr19&16546624
EOG090B0869,,chr10&116785374,chr8&22376227,chr8&53616255,chr8&13680505,chr17&13317021,chr17&19401906,chr18&16324752,chr17&9679077,chr17&35237497,chr17&15452201,chrC1&36748871,chr18&1795971,chr5&32106853,chr9&33186485,chr8&107243837,chr10&32476291
EOG090B08S3,,,chr3&71335129,chr6&16229884,chr3&43061312,chr12&15240040,chr22&24608787,chr19&12009163,chr22&16997387,chr22&7153374,chr22&16540707,,chr19&34392081,,,chr3&91795506,chr5&108746408
EOG090B088Y,,chr4&450042204,chr1&93034015,chr3&45754598,chr1A&41182512,chr6&21469645,chr6&8700126,chr7&44332069,chr6&24711766,chr6&70995569,chr6&2792339,chrB4&109757318,chr14&30982894,chr2&133502166,chr10&80130529,chr1&286433941,chr19&22804301
EOG090B0426,,chr4&409216915,chr12&12192339,chr11&36007618,chr12&9304460,chr5&2099100,chr5&1688581,chr5&35748478,,,chr5&16766502,chrA2&51041222,chrX1&91608361,chr7&41891337,chr17&44197311,chr7&130778400,
EOG090B0K6Q,,chr8&47514805,,chr13&11619831,,chr5&24096505,,chr5&11906631,chr5&26171796,chr5&3380650,chr5&3785168,chrA3&21709757,chr21&1297383,chr9&88819082,chr23&18455359,chr14&21241789,chr23&19131070
EOG090B0AGC,,chr3&329336426,chr3&71709307,chr6&16614134,,chr16&2533423,chr16&5838003,chr11&29158430,chr16&1604617,chr16&8919289,chr16&24053457,,chr19&33909760,chr4&164619471,chr3&59580664,,
EOG090B0AC6,,chr5&28348918,chr1&194939808,chr2&119873315,chr1&29815623,chr14&2864658,chr14&33621001,chr10&3124449,chr14&3439533,chr14&26566293,chr14&4666079,,chr20&29717754,,,chr1&10507960,
EOG090B0ACH,,chr4&150725353,chr5A&18819237,chr4&37697800,chr5&37744681,chr22&5731644,chr22&19642453,chr19&18293357,chr22&4009017,chr22&11820618,chr22&4770975,,chr14&13843683,,chr6&84563015,chr4&48140167,chr9&37302677
EOG090B09ZO,,chr6&91794012,chr7&17286089,chr5&23648612,chr7&11481724,chr3&12741431,chr3&9297855,chr1&12441595,chr3&14254860,chr3&35285956,chr3&5741116,chrC1&150332850,chr9&11213267,chr4&60307940,chr8&61133957,chr11&47346988,chr7&34993659
EOG090B0DMY,,,,chr3&38704954,,chr23&14243260,chr23&2712480,chr17&18611957,,chr6&1154187,chr23&14921543,,chr14&18742929,,,chr1&298217024,chr19&31131873
EOG090B082P,,chr18&36297036,chr13&11710633,chr12&13230544,chr13&11937566,chr10&10669875,chr10&17851951,chr2&28433707,chr10&13971342,chr10&18175974,chr10&13786906,chrA1&196661274,chrX1&33470614,chr13&21334178,,chr8&6641128,
EOG090B0CN4,,,,,,chr16&3616896,chr16&3996737,chr11&30688303,chr16&8924993,chr19&9573129,chr16&22967632,,,chr10&20291569,chr20&23148442,,chr2&41458203
EOG090B03C1,,,chrW&8157152,chrZ&99514860,chrZ&1368388,chr12&6907207,chr12&14422421,chr7&18849982,chr12&12339710,chr12&23164185,chr12&14699674,,,,,,
EOG090B005Q,,chr5&343762515,chr9&1118017,chr8&18527312,chr9&8969658,chr13&17633834,chr13&25765803,chr14&17491009,chr13&11138125,chr13&16618301,chr13&9662310,chrC1&207624939,chr7&52295767,chr4&10223095,chr8&11772081,chr9&105620725,chr13&6386500
EOG090B0CF2,,,chr2&21169500,chr1&118777852,chr2&21478160,chr2&28257442,chr20&8562435,chr9&5517896,chr20&1954448,chr20&9655508,chr6&9392914,,chr13&21576025,chr1&64844519,scaffold_110_arrow_ctg1&2846541,chr2&40774067,
EOG090B0A4J,,chr17&21594118,chr5&9283272,,chr5&4229591,chr3&8602509,chr3&15586843,,chr3&19183330,chr3&28084593,,,,,chr11&42971647,chr4&103491439,chr20&20999888
EOG090B05OD,chr1&944694,chr15&76786888,chr21&3645600,chr16&5099647,chr21&293037,chr7&11302228,chr7&22153736,chr20&26802635,chr7&12308919,chr7&32398607,chr7&15962388,chrC1&72826,chr5&55715476,chr5&103179,chr9&175951,chr18&13703833,chr31&12955114
EOG090B0LIR,chr1&1082893,chr15&76086930,chr21&3309389,chr16&5524079,chr21&93699,chr5&14097165,chr5&19909942,chr5&18762920,chr5&16021287,chr5&17366222,chr5&12649047,chrC1&201960,chr5&56043499,chr5&201559,chr9&283987,chr18&14489785,chr31&14359834
EOG090B08Y2,chr1&1217512,chr15&75785755,chr21&3183182,chr16&5666869,chr21&45289,chr7&21602676,chr7&7860411,chr20&6875428,chr7&2994136,chr7&3755476,chr7&9606618,chrC1&326894,chr5&56282842,chr5&286692,chr9&388204,chr18&14788155,chr31&27483670
EOG090B0C55,chr1&1255203,chr15&75641767,chr21&1060019,chr16&5747147,chr21&15618,chr5&9833030,chr5&13057523,chr5&24766730,chr5&11508149,chr5&27576675,chr5&24817854,chrC1&358001,chr5&56453102,chr5&313599,chr9&420541,chr18&15006267,
EOG090B0AXY,chr1&1308644,chr15&75457826,chr21&954483,chr16&5880011,chr21&1698621,chr5&9890411,chr5&13114865,chr5&24688648,chr5&11578875,chr5&27673770,chr5&24882735,chrC1&403399,chr5&56600179,chr5&351020,chr9&459818,chr18&15268702,chr31&27351989
EOG090B03H1,chr1&1311859,chr15&75424497,chr21&940286,chr16&5914024,chr21&1983581,chr7&21515330,chr7&8009531,chr20&6997845,chr22&9484326,chr7&3920853,chr7&9500129,chrC1&406704,chr5&56612685,chr5&352442,chr9&462149,chr18&15338550,chr31&27403301
EOG090B07C7,chr1&2019424,chr15&74051644,chr21&421931,chr16&8289687,chr21&2518268,chr7&7264425,chr7&27650405,chr20&21555351,chr7&16774800,chr7&36677719,chr7&23592037,chrC1&876380,chr5&57552598,chr5&687827,chr9&884753,chr18&16935820,chr31&15843391
EOG090B0DFX,chr1&2392702,chr15&73332567,chr21&133434,chr16&7962861,chr21&2818965,chr7&9642292,chr7&24365135,chr20&24681398,chr7&14252753,chr7&26111666,chr7&25672198,chrC1&1171006,chr5&58389095,chr5&873979,chr9&1162228,chr18&17652667,chr31&23644367
EOG090B0D29,chr1&2405766,chr15&73322833,chr21&127738,chr16&7956096,chr21&2823956,chr7&2343893,chr7&35711999,chr20&11760533,chr7&22690588,chr7&25092747,chr7&18886908,chrC1&1181021,chr5&58404560,chr5&881348,chr9&1174065,chr18&17666310,chr31&23667772
EOG090B028U,chr1&2508847,chr15&72884924,chr21&26560,chr16&7838773,chr21&2918164,chr5&20855755,chr5&30792336,chr5&10491426,chr5&24999064,chr5&5421261,chr5&4976662,,chr5&58659785,,chr9&1258162,chr18&18032012,chr31&23959879
EOG090B0DVR,chr1&3625073,chr16&1393176,chr21&1652600,chr16&7232635,chr21&3537882,chr7&9686004,chr7&24319886,chr20&24730773,chr7&14204610,chr7&26206629,chr7&25713965,chrC1&1967728,chr5&75323723,chr5&1677769,chr9&2039843,chr18&19282237,chr31&5439584
EOG090B05QE,chr1&3630975,chr15&71055398,chr21&1657000,chr16&7216702,chr21&3541690,chr7&9671737,chr7&24324215,chr20&24713033,chr7&14210091,chr7&26160860,chr7&25700163,chrC1&1972056,chr5&75281087,chr5&1682114,chr9&2044261,chr18&19290292,chr31&5456144
EOG090B060G,chr1&3781088,chr15&70831468,chr21&1709757,chr16&7175402,chr21&3596421,chr7&7721340,chr7&26976105,chr20&22267368,chr7&16223046,chr7&37525083,chr7&24019701,chrC1&2092783,chr5&74989576,chr5&1781770,chr9&2157405,chr18&19468169,chr31&15745239
EOG090B027C,chr1&3815402,chr15&70747836,chr21&1717999,chr16&7160576,chr21&3602293,chr7&7697229,chr7&26980514,chr20&22232595,chr7&16227514,chr7&37481336,chr7&23997413,chrC1&2111145,chr5&74927838,chr5&1793800,chr9&2174337,chr18&19494670,chr31&21189243
EOG090B099H,chr1&3857604,chr15&70740711,chr21&1723459,chr16&7157166,chr21&3616508,chr7&7683429,chr7&27031719,chr20&22219004,chr7&16269534,chr7&37424502,chr7&23980979,chrC1&2144599,chr5&74894867,chr5&1816738,chr9&2211354,chr18&19523546,chr31&21278978
EOG090B0BYH,chr1&6225080,chr15&68929514,chr21&2001745,chr16&6860857,chr21&3917914,chr7&2115004,chr7&36100896,chr20&12517124,chr2&2253894,chr7&19725990,chr7&18688466,chrC1&3925396,chr5&72544532,chr5&2920375,chr9&3766732,chr18&20988954,chr31&25071722
EOG090B066X,chr1&6525854,chr15&68110902,chr21&2038381,chr16&6820834,chr21&3958555,chr7&21741856,chr7&7602581,LS419890.1&32356,chr7&2854992,chr7&3526761,chr7&9755002,chrC1&4133137,chr5&72059693,chr5&3115635,chr9&3989746,chr18&21459249,chr31&26320305
EOG090B0BKA,chr1&6614067,,chr21&2064016,chr16&6800819,chr21&3979765,chr5&9750942,chr5&12954811,chr5&24875467,chr5&11416209,chr5&27439682,chr5&24731099,chrC1&4191599,chr5&71987544,chr5&3167369,chr9&4037489,chr18&21535121,chr31&25017333
EOG090B0EDI,chr1&7962786,chr15&66026245,chr21&2374154,chr16&6483280,,chr5&15963264,chr5&22684637,chr5&17498974,chr5&13765400,chr5&14296344,chr5&10620704,chrC1&5353195,chr5&70442585,chr5&4155262,,chr18&22641902,chr31&25357803
EOG090B03E1,chr1&8324330,chr15&65652894,chr21&2437088,chr16&6404408,,chr5&15795032,chr5&22392547,chr5&17273597,chr5&13963601,chr5&14509554,chr5&10788547,chrC1&5615766,chr5&70110120,chr5&4363358,chr9&5390182,chr18&22856983,chr31&25991507
EOG090B06F2,chr1&9588931,chr15&77503789,chr21&4280562,chr16&4376060,chr21&998304,chr7&11169029,chr7&22314255,chr20&26627152,chr7&12475096,chr7&32638605,chr7&15815380,chrC1&6578814,chr5&68729005,chr5&5284012,chr9&6321852,chr18&12449120,chr31&11117602
EOG090B01F0,chr1&9730508,chr15&77630375,chr21&3092172,chr16&4281258,chr21&1064545,chr7&11078284,,chr20&26516282,chr7&12563684,chr7&32768644,chr7&15726239,chrC1&6686969,chr5&68591075,chr5&5379481,chr9&6417211,chr18&12298291,chr31&10563205
EOG090B0ILM,chr1&9930399,chr15&77751628,chr21&3044684,chr16&4214936,chr21&1130795,chr7&11072513,chr7&22460809,chr20&26509443,chr7&12590318,chr7&32808561,chr7&15720157,chrC1&6867806,chr5&68385928,chr5&5516316,chr9&6556157,chr18&12165078,chr31&10799135
EOG090B00ZI,chr1&10083473,chr15&77788073,chr21&2993013,chr16&4158436,chr21&1145958,chr7&11050112,chr7&22490346,chr20&26478952,chr7&12602687,chr7&32827674,chr7&15696392,,chr5&68176169,chr5&5617984,chr9&6665519,chr18&12044246,chr31&10343363
EOG090B05GI,chr1&10399118,chr15&78125857,chr21&2888716,chr16&4044188,chr21&1259251,chr7&10987359,chr7&22568936,chr20&26400297,chr7&12682041,chr7&32943652,chr7&15633803,chrC1&7279737,chr5&67958140,,chr9&6890858,chr18&11886556,chr31&10039924
EOG090B098N,chr1&10461490,chr15&78148724,chr21&2881623,chr16&4034446,chr21&1273425,chr7&10700942,chr7&22869461,chr20&26097235,chr7&12972095,chr7&33365755,chr7&15361461,chrC1&7340434,chr5&67914597,chr5&5902308,chr9&6955718,chr18&11850604,chr31&9902708
EOG090B0B8F,chr1&10598340,chr15&78341955,chr21&2813048,chr16&3958635,chr21&1307211,chr7&10714579,chr7&22824983,chr20&26116053,chr7&12912830,chr7&33299473,,chrC1&7456675,chr5&67784759,chr5&6012982,chr9&7060837,chr18&11751754,
EOG090B01UK,chr1&11066718,chr15&79759144,chr21&6530619,chr16&3574260,,chr7&10662306,chr7&22950208,chr20&26038415,chr7&13009475,chr7&33443909,chr7&26695014,chrC1&7843703,chr5&67270210,chr5&6381918,chr9&7434555,chr18&11230961,chr31&19215734
EOG090B09M4,chr1&11273532,chr15&80202715,chr21&6612923,chr16&3504482,chr21&5292566,chr7&6867391,chr7&28164337,chr20&21060029,chr7&17268865,chr7&35845748,chr7&23199442,chrC1&8013465,chr5&67110705,chr5&6522951,chr9&7576912,chr18&11121408,chr31&19452875
EOG090B00U4,chr1&11500993,,chr21&6755680,chr16&3373108,chr21&5211207,chr9&8716723,chr9&19429148,chr12&22975915,chr9&7215676,chr9&21549798,chr9&9276182,chrC1&8202912,chr5&66836950,chr5&6688410,chr9&7733195,chr18&10911729,chr31&19543055
EOG090B0DNB,chr1&11674775,chr15&80256252,chr21&6831752,chr16&3300173,chr21&5159052,chr7&7149178,chr7&27837866,chr20&21396886,chr7&16936172,chr7&36447066,chr7&23476017,chrC1&8350857,chr5&66628561,chr5&6818017,chr9&7890937,chr18&10781666,chr31&26863924
EOG090B031B,chr1&11790680,chr15&80369613,chr21&6887086,chr16&3239831,chr21&5102614,chr7&2031127,chr7&36509192,chr20&12009732,,chr7&20104730,chr7&18628718,chrC1&8446489,chr5&66488690,chr5&6911424,chr9&7982330,chr18&10684431,chr31&26775392
