BuscoID,BUSCO_LittleSkate,BUSCO_Chicken,BUSCO_Human,BUSCO_Mouse,BUSCO_ThornySkate,BUSCO_Zebrafish
207153at7742,,chr1&78338799,chr7&143288456,chr6&42265124,,chr16&17551284
71417at7742,,chr3&30281372,chr6&37432605,chr17&29657881,,chr23&35363284
376554at7742,,chr1&135055831,chr2&101995762,chr1&40097649,,
388423at7742,,,chr17&4959534,chr11&70664111,,chr5&68066878
198118at7742,,chr1&93810729,chr1&147647423,chr3&97159168,,chr9&30479721
88636at7742,,chr19&7086488,chr17&519128,chr11&76046412,,chr15&25101948
105242at7742,,chr6&18351666,chr10&100288396,chr19&44147271,,chr13&25455274
188041at7742,,chr1&7956611,,,,
364336at7742,,chr17&5775823,chr9&129081132,chr2&30392437,,chr21&3897693
364898at7742,,chr3&93690012,chr2&3498963,chr12&28675253,,chr17&51224467
366274at7742,,chr14&14027662,chr16&1678313,chr10&71980092,,chr3&15893163
103093at7742,,chr9&1446822,chr11&46719236,chr2&91625433,,chr7&38750946
102515at7742,,chr20&10649497,chr20&46179424,chr2&165112158,,
366454at7742,,chr1&77945286,chr12&6905634,chr6&124770602,chr49&374012,chr23&20124419
102147at7742,,chr4&45730421,chr4&87147244,chr5&103855216,,chr21&166708
368039at7742,,,chr8&38991332,chr8&25017369,chr39&6484362,chr5&26903432
368535at7742,,chr27&4041607,chr17&63929226,chr11&106311807,,chr12&4899069
98908at7742,,chr12&3514194,chr3&52402288,chr14&31251618,chr18&21597839,chr22&10592641
368989at7742,,,,chr13&119492704,,chr10&13283460
191426at7742,,chr25&3021999,chr1&154974902,chr3&89403166,,chr16&22864827
285180at7742,,chr1&100685527,,chr16&78318770,,chr10&27129048
191875at7742,,chrZ&81605063,chr19&57872822,chr13&61841323,,chr4&45195153
283910at7742,,chrZ&71974055,,chr18&49698330,,chr21&233578
370111at7742,,chr25&2623185,chr1&156737398,chr3&87921866,,chr19&7497984
96292at7742,,chr2&16724483,chr10&25023224,chr2&21211437,,chr24&6680667
370608at7742,,chr15&6945067,chr12&109088206,chr5&114123948,chr25&33015976,chr5&41800179
192518at7742,,,chr14&58200218,chr12&70937955,,chr20&54274547
371581at7742,,chr6&35057070,chr10&129742556,chr7&137101750,,chr17&20214628
93829at7742,,chr4&30848382,chr4&144646676,chr8&79972333,,chr1&35790492
280835at7742,,chr6&27627330,chr10&112283735,chr19&55172484,,chr12&31477047
93035at7742,,,chr15&45402430,,,chr18&5530118
91638at7742,,chrZ&71054833,chr4&960620,chr5&108648710,chr1&35285526,
89000at7742,,chr1&53325324,chr12&107734210,chr10&85893130,,chr4&14917688
88390at7742,,chr7&23626792,chr2&127248590,chr18&32240394,chr7&87492723,chr6&9595697
361964at7742,,chr5&28218284,chr14&69399370,chr12&80644881,chr9&8336178,chr17&48127523
68766at7742,,,chr11&62647020,chr19&8893069,NW_022630862.1&43367,chr14&45552820
68501at7742,,,,,,
398565at7742,,chr8&8144052,,chr6&18824552,chr10&773424,chr2&9939235
398881at7742,,chr1&112497257,chrX&43931350,chrX&16876582,,chr9&33734968
398926at7742,,chr18&10523477,chr17&74875209,chr11&115283506,,chr12&46608851
216474at7742,,chr1&170690535,chr13&50011941,chr14&61603707,,chr9&29647183
401448at7742,,chr22&2584889,chr8&38190358,chr8&25751339,,chr8&44599857
50786at7742,,chr5&404784,chr11&61720156,chr19&10247664,,chr7&13414808
50444at7742,,chr18&10785784,chr17&75476690,chr11&115780911,,chr12&33606518
217951at7742,,chr33&7355723,chr12&53307489,chr15&102338281,,chr9&205344
218088at7742,,chrZ&18932749,chr5&60874615,chr13&108158794,chr1&122228185,chr8&16738529
262337at7742,,,,,,
48716at7742,,chr3&26195862,,chr17&85985194,,chr13&9896449
219315at7742,,chr4&89707735,chr2&73214267,chr6&85432005,chr1&180638315,chr14&22498901
47273at7742,,chr25&3364117,chr1&153728635,chr3&90391433,,chr19&26640361
402679at7742,,chr1&29691357,,chr15&93386155,,
47023at7742,,chr3&16137330,chr6&42964335,chr17&46706664,chr5&15929180,chr22&38001405
261612at7742,,chr23&669889,chr1&31259478,chr4&130359951,,chr19&43004562
220441at7742,,chr1&171712534,,,,chr15&3661570
221029at7742,,chr2&19098050,chr10&18545933,chr2&14996313,chr2&126501654,chr7&71777316
260562at7742,,chr2&42556750,,chr9&103428739,,chr2&32764443
46538at7742,,chr6&28664788,chr10&114187832,chr19&56831326,,chr12&30346411
221780at7742,,chr2&149268685,,chr15&75993860,chr2&2677989,chr19&46240516
259004at7742,,,,,,
404815at7742,,chr3&96184256,chr2&9406834,chr12&21270886,chr5&81933365,chr17&35225762
43750at7742,,chrZ&64140404,chr5&80724506,chr13&92212435,,chr5&51247657
43568at7742,,chr1&13919996,chr7&105057191,chr5&23450266,,chr4&22415927
223283at7742,,chr7&22462057,chr2&218663957,chr1&74593824,,chr3&32671188
405526at7742,,chr1&177127035,chr13&28659185,chr5&147860689,chr6&52665550,chr21&40712975
264650at7742,,chr31&2243517,chr17&7687524,chr11&69561779,NW_022630675.1&1,chr7&20919931
68589at7742,,chr5&38371820,chr14&75084282,chr12&85299659,chr9&54228354,chr17&53232702
265085at7742,,chr3&79102054,chr6&80125157,,,
265369at7742,,chr2&126722272,chr8&96239491,chr13&66912184,chr4&100494162,chr19&44058610
67119at7742,,chrZ&58014953,chr5&94646502,chr13&77043549,,chr5&50370155
388719at7742,,chr1&85034523,,chr1&164796732,,chr6&29184544
66884at7742,,,chr2&112299639,chr2&128988219,,chr13&47811296
208931at7742,,chr3&108257806,chr6&50711286,chr1&19103256,,chr20&47718474
267345at7742,,chr33&6527237,chr11&62832952,chr19&8735842,,chr10&27052138
65834at7742,,chr7&4833039,,,,
65757at7742,,chr23&4359957,chr1&35808417,,,chr19&47800712
389299at7742,,chrZ&9298034,chr11&6682118,chr7&105809857,,chr16&26021109
389363at7742,,chr8&4075492,chr1&163147342,chr1&169662208,,chr6&35389781
64807at7742,,chr8&19401107,,chr3&152427328,,chr2&8806195
209555at7742,,chr7&17895178,chr2&171934395,chr2&71396926,chr46&573,chr9&3282533
210019at7742,,chr33&7200842,chr12&53252836,chr15&102280195,,chr23&35788193
63939at7742,,chr1&111618801,chr21&5131281,chr10&78171960,chr14&1730805,
210433at7742,,chrZ&22502363,,,,
210721at7742,,chrZ&10568141,chr5&34929820,chr15&10447065,NW_022630587.1&1,chr21&11180277
211124at7742,,chr3&27545862,,,chr5&6944444,
266944at7742,,,,,,
62592at7742,,chr5&4101278,,,,
393381at7742,,chr6&27694281,,,,
212720at7742,,chr1&24799631,chr7&117363596,chr6&18051251,,chr18&20642579
212765at7742,,chr1&81693006,chr3&118902520,chr16&39001206,,chr15&46549310
59241at7742,,chr2&55367060,chr9&33290477,chr4&40971035,chr2&21425256,chr7&41491921
213068at7742,,chr9&20054743,chr3&169919499,chr3&30750592,,chr2&37233787
394099at7742,,,chr2&70988600,chr6&83771188,,chr7&8695089
266228at7742,,chr5&18630808,chr11&33741908,chr2&104027863,,chr7&38705022
56885at7742,,chr8&16742130,chr1&85062329,chr3&146040698,,chr23&45951127
214005at7742,,chr21&979785,chr1&3630975,chr4&154142445,chr31&5456144,chr8&48816559
55268at7742,,,,chr4&6397767,,chr7&58144276
106894at7742,,,,,,chr24&35881984
360873at7742,,chr1&94356275,chr3&86951817,chr16&65815633,chr14&16601319,chr9&19003341
108312at7742,,chr11&11520737,,,chr17&26955445,
313967at7742,,chr21&3768911,chr1&10599292,chr4&148961341,,chr23&28845026
139811at7742,,chr14&16093686,chr17&19378901,chr11&61489117,,chr12&4225199
330996at7742,,chr3&105458616,chr2&24798055,chr12&4214494,chr8&5920271,chr17&6528282
139567at7742,,chr25&83562,chr1&150067858,chr3&96006147,,chr19&42397977
162212at7742,,chr4&76656049,chr4&15605723,chr5&43745299,,chr23&45867695
331411at7742,,chr8&4905988,chr1&172441729,chr1&161958448,,chr20&14813949
332363at7742,,chr5&19090078,chr11&34882717,chr2&103078556,,chr7&49901602
333504at7742,,,chr14&80202713,chr12&90729424,,
333671at7742,,chr8&12322321,chr1&100151169,,,chr22&16308849
311241at7742,,chr2&34430418,chr3&16577756,chr17&50276657,,chr19&20391313
334890at7742,,chr17&998766,chr9&114060239,chr4&63143614,,chr10&10801719
163855at7742,,chr1&7227363,chr10&13092785,chr2&5021351,,chr4&8018987
335517at7742,,chr2&102972916,chr18&23336774,,,chr24&36226172
164538at7742,,,chr17&7461940,chr11&69765913,,chr12&22532490
336001at7742,,chr5&58381824,,chrX&68821347,,chr17&15220474
309843at7742,,chr3&66931921,,,chr5&110460142,chr20&33739103
336178at7742,,chr6&20457586,chr10&90871987,chr19&36083737,chr15&4861745,chr12&16446500
336346at7742,,,chr17&7252503,chr11&69968426,,chr7&69424823
336619at7742,,chr5&19017301,chr11&34632223,chr2&103266772,,chr25&10420029
133153at7742,,chr14&5129265,chr17&17213655,chr11&59792610,,chr16&13822176
336764at7742,,chr24&2585695,chr11&134248438,chr9&27000014,,chr15&19331325
166380at7742,,chr3&40540295,chr1&230694427,chr8&124556453,,chr13&23990058
337045at7742,,chr25&1843046,chr1&149923542,,,chr19&7424386
131983at7742,,chr5&233987,chr11&59639044,chr19&11912563,,chr1&52768465
307170at7742,,,chr5&64769147,chr13&104775820,,
338075at7742,,,chrX&148198032,chr2&170265921,,chr19&7799167
130943at7742,,chr10&1778245,chr15&44665953,chr2&122119260,,chr12&13091979
329437at7742,,chr26&3165460,chr1&209782825,chr1&193174342,chr24&38225547,chr6&40874353
166801at7742,,chr4&49596787,chr8&8318154,chr8&36099697,,chr21&644508
142495at7742,,chr1&38115034,chr12&76345813,chr10&111298723,,chr18&7357058
142850at7742,,,,,chr13&33210520,
155361at7742,,chr12&19022312,chr3&5187806,chr6&108828740,chr18&19042869,chr6&42934151
319460at7742,,chrZ&42475673,chr3&46519014,chr9&110957822,,
321778at7742,,chr2&30403001,chr7&21428721,chr12&118238147,,chr19&2545687
321789at7742,,chr1&30988047,chr12&45922048,chr15&96414788,,chr4&1620141
318959at7742,,chr8&12143887,chr1&100896263,,,chr22&16123721
153401at7742,,chr12&4781954,chr3&11259038,chr6&114477367,,chr11&900692
153051at7742,,chr33&7377090,chr12&53380292,chr15&102406416,,
318720at7742,,chr7&20002634,chr2&164898437,chr2&65316770,,chr9&50018942
152820at7742,,,,,,
323530at7742,,chr7&23551786,chr2&216095964,chr1&72297908,chr7&90839679,
157016at7742,,,,,,
318035at7742,,chr1&75887566,chr12&8941818,chr6&122312235,,
150696at7742,,chr11&18604629,chr16&89171832,,,chr7&56112086
150456at7742,,chr5&556281,chr11&67991546,chr19&3935257,,chr1&44396564
324664at7742,,chr4&86200360,chr2&84423746,chr6&73248696,chr1&174844277,chr1&43652817
149121at7742,,chr30&691462,chr19&15115252,chr10&78574815,,chr18&44769257
325447at7742,,,chr11&65084699,chr19&6080357,,chr5&52927141
147736at7742,,chr4&58121066,,chr3&129846083,,chr23&45275595
325703at7742,,chrZ&20547025,chr5&65507361,chr13&104229153,,chr1&31509028
159771at7742,,chr4&85995253,chr2&88173151,chr6&71128630,,chr5&72094685
145104at7742,,chrZ&37948034,chr9&78236351,chr19&15955840,,chr8&51935176
315832at7742,,chr26&1619583,chr6&36887662,chr17&29273874,,chr22&724960
160732at7742,,chr1&49555878,chrX&150231071,chr15&82017123,chr38&13566905,chr12&18887457
328263at7742,,chr2&126322444,chr8&95025105,,,chr16&40480695
328352at7742,,chr4&46398923,chr4&82430830,chr5&100040219,,chr10&5025881
160923at7742,,chr11&18771342,chr16&89721641,chr8&123254716,,chr25&37461276
328736at7742,,chr2&108430041,,chr16&14705974,,chr24&35387649
142719at7742,,chr8&29336063,,,,chr6&30093816
339849at7742,,chr4&77443049,,,,
129939at7742,,chr2&107820563,,,,
306544at7742,,chr7&22569500,chr2&218217471,chr1&74236826,chr7&90437330,chr9&48043494
118164at7742,,chr1&138284218,chr13&114235085,chr8&13757807,chr6&87113928,chr9&34918312
117635at7742,,chr6&23501555,chr10&102065475,chr19&46003626,,chr13&28781620
117494at7742,,chr12&20120877,chr3&15073782,chr6&92189310,,chr8&53150972
175755at7742,,chr1&56752442,chr7&140335412,chr6&39337192,,KN149790.1&25299
116482at7742,,chr1&7994107,chr10&14908408,chr2&3424218,chr21&42797560,chr4&9603658
353461at7742,,chr17&5192782,chr9&128063428,chr2&32452439,,chr8&2642384
295613at7742,,chr2&21735134,chr7&90412677,chr5&5507691,NW_022630323.1&7908,chr16&43230057
295101at7742,,chrZ&81795195,chr9&37753814,chr4&45300445,,chr7&7784891
294443at7742,,,chr8&144450379,chr15&76644534,chr2&8779667,chr19&42919480
355312at7742,,chr4&82077997,chr4&3249223,chr5&34917596,,chr7&18550397
114819at7742,,chr7&22030649,chr2&219598009,chr1&75521789,,chr6&20952031
176497at7742,,chr14&12457963,chr16&86705,chr11&32232951,,chr3&55046096
176579at7742,,chr1&31058116,,chr15&96996990,,chr4&1538547
177602at7742,,chr18&9543012,chr17&80210452,chr11&119346278,,chr22&11520546
357059at7742,,chr3&27500695,chr2&28393721,chr5&32136704,,chr17&41303143
179120at7742,,chr20&10076186,chr20&31890743,chr2&152970689,chr23&19003138,chr23&12124604
180713at7742,,chr3&52131720,chr6&158560089,chr17&6256944,,chr4&357985
111501at7742,,,,,,chr5&69750020
358727at7742,,chrZ&23986267,chr1&28328942,chr4&132459560,chr27&1714175,chr16&7376618
181216at7742,,,,,,
111128at7742,,chr2&15947101,chr10&27155427,,,chr24&5889762
359032at7742,,chr2&118027624,chr8&73972991,chr1&16665346,chr4&44824146,chr2&30247245
359192at7742,,chr8&4038612,chr1&192158293,chr1&144753812,,chr2&6536558
110339at7742,,,,chr5&138030336,,chr1&21855860
181384at7742,,chrZ&10990211,chr5&36192659,chr15&9071502,chr3&86696198,chr21&22330655
359541at7742,,chr1&51071041,chr22&37944175,chr15&79135151,chr38&12569405,chr6&21576596
291383at7742,,chr1&78020634,chr12&6970924,chr6&124704363,,chr16&17254028
174148at7742,,chr18&6568935,chr17&31863359,chr11&79935955,chr26&37046115,chr6&18524582
119371at7742,,chr3&81520207,chr6&73461855,chr9&78445071,,chr12&14216281
120479at7742,,chr4&42233732,chr4&177316185,chr8&53587145,chr3&126391610,chr14&36415000
349204at7742,,chr18&10377581,chr17&50382988,chr11&94630005,chr26&21268622,chr12&31779178
340499at7742,,chr3&19766089,,chr1&187097735,,chr17&30205389
129214at7742,,chr1&181426322,,,chr6&47070847,chr21&25120613
129039at7742,,chr2&4081944,chr7&45100325,chr11&6616613,chr4&115753193,chr16&27661188
128421at7742,,chr8&24156063,,chr4&109697278,,chr8&16264203
305045at7742,,chr1&44019156,chr12&91104165,chr10&97556687,chr19&23427029,chr4&16352296
342192at7742,,chr2&91390357,chr18&75201416,chr18&84088165,,
127445at7742,,,,,,
127291at7742,,chr17&8925505,,chr2&35869362,,chr5&33612063
126705at7742,,chr32&419172,chr19&47066356,chr7&16411880,,chr15&23710606
169538at7742,,chr3&27897288,chr2&27663915,chr5&31527022,,chr17&40879404
126329at7742,,chr33&3398504,,chr15&98645794,,chr23&14194188
343966at7742,,chr5&38136591,chr14&74480043,chr12&84757126,,
169683at7742,,chr25&1436939,chr1&145825777,chr3&96711979,,chr16&14251056
406184at7742,,chr5&9835119,chr11&8911450,chr7&109703952,,chr18&16948446
344151at7742,,chr2&66297803,chr6&3118741,chr13&34037663,,KN150137.1&18080
124775at7742,,chr1&51470162,chr22&37066080,chr15&78440214,,
124571at7742,,chrZ&20588703,chr5&65591769,chr13&104178782,,chr10&11794469
123936at7742,,chr13&17661606,,,,
123847at7742,,chr17&1900196,chr9&127454528,,,chr5&32865364
170012at7742,,chr7&22216945,chr2&219230258,chr1&75192452,,chr9&12868409
123291at7742,,chr25&3726670,chr1&150324943,chr3&95830819,,chr16&9425093
123145at7742,,chr18&6262923,chr17&56834796,chr11&89040732,,chr6&18367813
302828at7742,,,,,,chr23&43638994
301932at7742,,chr20&10516869,chr20&45841838,chr2&164792892,,chr11&1512592
346365at7742,,,chr1&53894211,chr4&107292330,,
347954at7742,,chr8&6289097,,chr1&155558638,,chr8&14381388
173172at7742,,chr7&22179216,chr2&219374292,chr1&75308659,chr7&86456599,chr6&13892700
298137at7742,,chr14&15375641,chr16&21258781,chr7&120186634,,chr12&10447959
304593at7742,,chrZ&25250111,chr5&72320383,chr13&99319616,chr3&117841335,chr5&35257224
42033at7742,,chr32&466812,chr19&47353031,chr7&16197297,,chr18&44567386
320238at7742,,,,chr2&180598260,,chr23&496555
235274at7742,,chr33&6612541,chr11&65128382,chr19&6047934,chr45&5858046,chr14&26453263
33525at7742,,chr5&5858389,chr11&32913725,chr2&104758465,chr38&776789,chr18&45667072
425988at7742,,chr25&3344736,chr1&153658744,chr3&90489492,,chr19&23919096
5422at7742,,chr5&34548634,chr14&31100930,chr12&51744521,,chr17&28675221
10163at7742,,chr17&6474532,chr9&131410471,chr2&32174477,,chr5&72026549
416176at7742,,chr10&5843768,chr15&59639132,chr9&70015339,chr44&12960657,chr7&29351804
38686at7742,,chrZ&53457750,chr4&849673,chr5&108569855,,
423617at7742,,chr1&77586795,chr12&6492271,,,chr16&4542443
251511at7742,,chr2&45849688,chr3&36715328,chr9&111448281,,chr19&42938387
237959at7742,,chr19&5643584,chr17&2015603,chr11&75179149,,chr15&25894450
39061at7742,,chr4&69030617,chr4&40097341,chr5&65786133,,chr1&23372667
413289at7742,,chr21&3537654,chr1&9858656,chr4&149543334,,chr23&29695429
21970at7742,,chr4&44307810,chr4&176111581,,,chr1&38775248
233465at7742,,,,,,chr15&34346475
412561at7742,,chr25&251166,chr1&151166153,chr3&95129784,,chr16&29686372
256267at7742,,,chr19&17250225,chr8&71385616,,chr11&6074244
30224at7742,,chr22&2513219,chr8&37809889,chr8&27090604,,
243851at7742,,chr3&16096960,chr2&112482345,chr2&129066147,chr5&4909074,chr13&15918549
412581at7742,,chr3&91488513,chr8&664603,chr8&14028080,,chr17&24918114
421575at7742,,chr17&2776170,chr9&113151075,chr4&62286569,,chr21&13788312
5520at7742,,chr1&181592151,,chr9&53439746,,
425387at7742,,chr14&1511707,chr7&98212310,chr5&144190988,,chr12&17755982
251667at7742,,chr33&3350829,chr12&48650153,,,chr23&24600496
8258at7742,,chr33&7234743,chr12&53268767,chr15&102296769,,chr6&39669226
239783at7742,,chr8&29906699,chr1&74198240,chr3&155086616,chr10&69448186,chr8&17983627
408552at7742,,chr15&5036041,chr12&124295430,chr5&125003568,,chr8&43342125
240065at7742,,chr3&30308983,chr6&37354165,chr17&29614968,,chr20&51363830
433490at7742,,chr3&51965159,chr6&158191183,chr17&6079817,chr8&40401789,chr20&26045658
424147at7742,,chr10&20562299,chr15&43800599,chr2&121457106,chr44&7706521,chr7&50407928
424874at7742,,chrZ&73136628,,chr18&46734450,,chr16&13883934
35211at7742,,chr19&7631791,chr17&61683296,chr11&86061429,,chr15&27448013
19085at7742,,chr2&90579225,chr18&76849642,,,
226949at7742,,chr4&29332561,chr4&139511663,chr3&51521307,,chr14&46200676
34549at7742,,chr5&55351594,chr14&58439666,chr12&71137885,,chr17&11146339
245463at7742,,,,chr5&110841213,,chr5&10056233
19730at7742,,chr3&57369340,chr6&131594061,chr10&24870099,,
28954at7742,,chr1&19014915,chr22&49883663,,,chr4&27113278
228730at7742,,chr1&84810261,,chr1&164320428,,chr6&29227552
239747at7742,,chr25&2624408,chr1&156729105,chr3&87923791,,chr16&29376851
236514at7742,,chr5&17249477,chr11&57646943,chr2&84723546,chr23&40076292,chr14&48977633
240294at7742,,chr7&174489,chr2&190205117,,,chr9&40874251
37782at7742,,chr3&61880731,chr6&121080771,chr10&56017585,chr5&50237647,chr20&40769265
22496at7742,,chr1&25062053,chr7&116695757,chr6&17491187,chr19&41738463,chr25&18587338
416838at7742,,chr8&16687449,chr1&85252629,chr3&145938059,chr10&68688159,chr23&46031809
26485at7742,,chr1&77587571,chr12&6495111,chr6&125168234,,chr2&44750048
243575at7742,,chr5&1710192,chr11&67021726,chr19&4447687,chr20&29367102,chr25&7462405
406718at7742,,chr4&44723843,chr4&74365309,chr5&91083819,,
427222at7742,,chr1&49418433,chr22&42086183,chr15&82350240,chr38&11831063,chr3&1182326
15083at7742,,,chr18&9189963,chr17&65950155,,chr2&54755226
406535at7742,,chr31&5623070,chr19&58550777,chr7&13030996,chr38&39495,chr12&27025770
412883at7742,,chr4&4166814,chrX&135964624,chrX&56576005,,chr14&31616237
1566at7742,,,chr10&16815840,chr2&13268388,,chr24&32018577
224567at7742,,chr7&22468487,chr2&218660988,chr1&74589559,chr7&86732012,chr9&38400243
23496at7742,,chr5&24674860,chr15&40980223,chr2&119374364,chr9&6354126,chr20&28270679
1653at7742,,chr14&1723283,chr7&98880989,chr5&144771150,chr22&20599510,chr12&17933775
427644at7742,,chr3&8707443,chr2&30237567,chr17&72919463,,chr13&51844058
229738at7742,,chr4&35040350,chr11&17943808,chr7&46571353,,chr25&8110056
31418at7742,,chr5&996933,chr15&40358322,chr2&118786062,,chr17&31185454
13987at7742,,chr7&22473732,chr2&218638339,chr1&74566878,chr7&86914095,chr9&38390099
248515at7742,,chr24&339199,chr11&126203418,chr9&35267646,chr43&12606669,chr11&17984390
245482at7742,,,chr12&51190247,chr15&100578273,,chr23&33683485
238417at7742,,chr12&1175845,chr3&52694845,chr14&31006497,,chr11&3972171
429784at7742,,chr1&50847602,chr22&38656638,chr15&79661447,chr38&12963560,chr12&19185757
235284at7742,,chr1&77649191,chr12&6556993,chr6&125129570,,chr16&17234896
24468at7742,,chr11&8780412,,,,chr7&46363390
429826at7742,,,,,,chr20&29231674
438295at7742,,,chrX&51922677,,chr6&52970373,
436864at7742,,chrZ&27815384,chr9&5892475,chr19&29700100,,
241288at7742,,chr6&23681273,chr10&101611291,chr19&45578806,,chr13&28513107
295973at7742,chr1&1267752,chr4&29914238,chr4&141220873,chr8&82764229,chr1&1373059,chr1&53267121
87599at7742,chr1&2399487,chr4&34128081,chr8&19817538,chr8&68794020,chr1&2476203,chr14&712252
206342at7742,chr1&2605017,chr4&34372850,chr4&127972123,chr3&40904902,chr1&2672995,chr14&49997411
229564at7742,chr1&2665193,chr4&34359295,chr4&127920630,chr3&40819514,chr1&2722933,chr12&22623092
64591at7742,chr1&2938354,chr4&34254950,chr4&127643459,chr3&40652529,chr1&3004480,chr7&7711745
285297at7742,chr1&5398051,chr33&7256998,chr12&48149366,chr15&98135806,chr44&2037169,chr23&27498919
388183at7742,chr1&6659692,chr4&53565306,chr4&122892828,chr3&37405097,chr1&6961952,chr14&553000
160275at7742,chr1&6796585,chr4&53628227,chr4&122741893,chr3&37312731,chr1&7095514,chr14&1355857
144578at7742,chr1&7143466,chr4&53726732,chr4&122364958,chr3&37063723,chr1&7420217,chr14&1236963
108730at7742,chr1&7677415,chr4&53918383,chr4&121825860,chr3&36573489,chr1&7999242,chr14&46377020
249694at7742,chr1&7787919,chr4&53939310,chr4&121801425,chr3&36552686,chr1&8109494,chr1&19083608
110226at7742,chr1&8172974,chrZ&53622511,chr4&987085,chr5&108669390,chr1&8651731,chr5&9047602
359330at7742,chr1&8325234,chr4&34711267,chr8&30578921,chr8&33735551,chr1&8771129,chr1&22855983
144352at7742,chr1&9384573,chr4&33435860,chr4&151671174,chr3&85574144,chr1&10310193,chr1&24520957
130549at7742,chr1&12254687,chr4&31967313,chr4&147638532,chr8&77549548,chr1&13069925,chr1&36746238
433281at7742,chr1&13508280,chr4&31367831,chr4&146182922,,chr1&14377982,chr1&36188049
210234at7742,chr1&13716089,chr4&31178220,chr4&145639302,chr8&79267928,chr1&14584791,chr1&35959324
398379at7742,chr1&15445232,chr4&23415495,chr4&163494350,chr8&66476675,chr1&16411219,chr1&19760782
117499at7742,chr1&18283578,chr4&21929652,chr4&158672457,chr3&79604002,chr1&19379674,chr14&48071291
166722at7742,chr1&18406908,chr4&21771366,chr4&158127407,chr3&79886227,chr1&19490058,chr14&35877291
253625at7742,chr1&19688067,chr4&20908801,chr4&155926036,chr3&81932665,chr1&20798956,chr14&36752529
109231at7742,chr1&19810198,chr4&20825005,chr4&155784131,chr3&82037890,chr1&20939208,chr1&25799851
162368at7742,chr1&19912249,chr4&57070946,chr4&112637494,chr3&127536954,chr1&21019869,chr7&59576008
49885at7742,chr1&20134224,chr4&57133859,chr4&112377778,chr3&127666772,chr1&21249348,chr7&1112900
339693at7742,chr1&20294358,chr4&57169638,chr4&112250508,chr3&127808491,chr1&21423710,chr14&4796754
89391at7742,chr1&21659408,chr4&57825703,chr4&110476415,chr3&129270279,chr1&22902467,chr13&12543868
29959at7742,chr1&22108461,chr4&58022130,chr2&169128663,chr3&129687317,chr1&23399811,chr14&36280834
261523at7742,chr1&22278809,chr4&58101461,chr4&109815309,chr3&129808932,chr1&23538090,chr13&12528009
422259at7742,chr1&22293632,chr4&58113086,,chr3&129824635,chr1&23551409,chr14&43606849
187791at7742,chr1&22497711,chr4&80968536,chr4&8440823,chr5&35557826,chr1&23723620,chr7&59677409
291391at7742,chr1&26687638,chr4&23879338,chr4&165333371,chr8&64718986,,chr1&20917164
372062at7742,chr1&26915134,chr4&23790319,chr4&165079658,chr8&64947307,chr1&28197803,chr1&19649617
318965at7742,chr1&27079833,chr4&79928294,chr4&7043325,chr5&36475970,chr1&28469170,chr7&39738571
77680at7742,chr1&27886015,chr2&17448659,chr10&22927587,chr2&19222532,chr2&129454646,chr24&17048220
357819at7742,chr1&28620638,chr4&78531795,chr4&4267889,chr5&38224676,chr1&30279030,
417555at7742,chr1&28693081,chr4&78500599,,chr5&38260402,chr1&30336643,
