BuscoID,BUSCO_LittleSkate,BUSCO_ThornySkate,BUSCO_Zebrafish,BUSCO_Chicken,BUSCO_Mouse,BUSCO_Human
71417at7742,,,chr23&35363284,chr3&30281372,chr17&29657881,chr6&37432605
376554at7742,,,,chr1&135055831,chr1&40097649,chr2&101995762
388423at7742,,,chr5&68066878,,chr11&70664111,chr17&4959534
198118at7742,,,chr9&30479721,chr1&93810729,chr3&97159168,chr1&147647423
88636at7742,,,chr15&25101948,chr19&7086488,chr11&76046412,chr17&519128
105242at7742,,,chr13&25455274,chr6&18351666,chr19&44147271,chr10&100288396
188041at7742,,,,chr1&7956611,,
364336at7742,,,chr21&3897693,chr17&5775823,chr2&30392437,chr9&129081132
364898at7742,,,chr17&51224467,chr3&93690012,chr12&28675253,chr2&3498963
366274at7742,,,chr3&15893163,chr14&14027662,chr10&71980092,chr16&1678313
103093at7742,,,chr7&38750946,chr9&1446822,chr2&91625433,chr11&46719236
102515at7742,,,,chr20&10649497,chr2&165112158,chr20&46179424
366454at7742,,chr49&374012,chr23&20124419,chr1&77945286,chr6&124770602,chr12&6905634
102147at7742,,,chr21&166708,chr4&45730421,chr5&103855216,chr4&87147244
368039at7742,,chr39&6484362,chr5&26903432,,chr8&25017369,chr8&38991332
368535at7742,,,chr12&4899069,chr27&4041607,chr11&106311807,chr17&63929226
98908at7742,,chr18&21597839,chr22&10592641,chr12&3514194,chr14&31251618,chr3&52402288
368989at7742,,,chr10&13283460,,chr13&119492704,
191426at7742,,,chr16&22864827,chr25&3021999,chr3&89403166,chr1&154974902
285180at7742,,,chr10&27129048,chr1&100685527,chr16&78318770,
191875at7742,,,chr4&45195153,chrZ&81605063,chr13&61841323,chr19&57872822
283910at7742,,,chr21&233578,chrZ&71974055,chr18&49698330,
370111at7742,,,chr19&7497984,chr25&2623185,chr3&87921866,chr1&156737398
96292at7742,,,chr24&6680667,chr2&16724483,chr2&21211437,chr10&25023224
370608at7742,,chr25&33015976,chr5&41800179,chr15&6945067,chr5&114123948,chr12&109088206
192518at7742,,,chr20&54274547,,chr12&70937955,chr14&58200218
371581at7742,,,chr17&20214628,chr6&35057070,chr7&137101750,chr10&129742556
93829at7742,,,chr1&35790492,chr4&30848382,chr8&79972333,chr4&144646676
280835at7742,,,chr12&31477047,chr6&27627330,chr19&55172484,chr10&112283735
93035at7742,,,chr18&5530118,,,chr15&45402430
91638at7742,,chr1&35285526,,chrZ&71054833,chr5&108648710,chr4&960620
89000at7742,,,chr4&14917688,chr1&53325324,chr10&85893130,chr12&107734210
88390at7742,,chr7&87492723,chr6&9595697,chr7&23626792,chr18&32240394,chr2&127248590
361964at7742,,chr9&8336178,chr17&48127523,chr5&28218284,chr12&80644881,chr14&69399370
68766at7742,,NW_022630862.1&43367,chr14&45552820,,chr19&8893069,chr11&62647020
68501at7742,,,,,,
398565at7742,,chr10&773424,chr2&9939235,chr8&8144052,chr6&18824552,
398881at7742,,,chr9&33734968,chr1&112497257,chrX&16876582,chrX&43931350
398926at7742,,,chr12&46608851,chr18&10523477,chr11&115283506,chr17&74875209
216474at7742,,,chr9&29647183,chr1&170690535,chr14&61603707,chr13&50011941
401448at7742,,,chr8&44599857,chr22&2584889,chr8&25751339,chr8&38190358
50786at7742,,,chr7&13414808,chr5&404784,chr19&10247664,chr11&61720156
50444at7742,,,chr12&33606518,chr18&10785784,chr11&115780911,chr17&75476690
217951at7742,,,chr9&205344,chr33&7355723,chr15&102338281,chr12&53307489
218088at7742,,chr1&122228185,chr8&16738529,chrZ&18932749,chr13&108158794,chr5&60874615
262337at7742,,,,,,
48716at7742,,,chr13&9896449,chr3&26195862,chr17&85985194,
219315at7742,,chr1&180638315,chr14&22498901,chr4&89707735,chr6&85432005,chr2&73214267
47273at7742,,,chr19&26640361,chr25&3364117,chr3&90391433,chr1&153728635
402679at7742,,,,chr1&29691357,chr15&93386155,
47023at7742,,chr5&15929180,chr22&38001405,chr3&16137330,chr17&46706664,chr6&42964335
261612at7742,,,chr19&43004562,chr23&669889,chr4&130359951,chr1&31259478
220441at7742,,,chr15&3661570,chr1&171712534,,
221029at7742,,chr2&126501654,chr7&71777316,chr2&19098050,chr2&14996313,chr10&18545933
260562at7742,,,chr2&32764443,chr2&42556750,chr9&103428739,
46538at7742,,,chr12&30346411,chr6&28664788,chr19&56831326,chr10&114187832
221780at7742,,chr2&2677989,chr19&46240516,chr2&149268685,chr15&75993860,
259004at7742,,,,,,
404815at7742,,chr5&81933365,chr17&35225762,chr3&96184256,chr12&21270886,chr2&9406834
43750at7742,,,chr5&51247657,chrZ&64140404,chr13&92212435,chr5&80724506
43568at7742,,,chr4&22415927,chr1&13919996,chr5&23450266,chr7&105057191
223283at7742,,,chr3&32671188,chr7&22462057,chr1&74593824,chr2&218663957
405526at7742,,chr6&52665550,chr21&40712975,chr1&177127035,chr5&147860689,chr13&28659185
264650at7742,,NW_022630675.1&1,chr7&20919931,chr31&2243517,chr11&69561779,chr17&7687524
68589at7742,,chr9&54228354,chr17&53232702,chr5&38371820,chr12&85299659,chr14&75084282
265085at7742,,,,chr3&79102054,,chr6&80125157
265369at7742,,chr4&100494162,chr19&44058610,chr2&126722272,chr13&66912184,chr8&96239491
67119at7742,,,chr5&50370155,chrZ&58014953,chr13&77043549,chr5&94646502
388719at7742,,,chr6&29184544,chr1&85034523,chr1&164796732,
66884at7742,,,chr13&47811296,,chr2&128988219,chr2&112299639
208931at7742,,,chr20&47718474,chr3&108257806,chr1&19103256,chr6&50711286
267345at7742,,,chr10&27052138,chr33&6527237,chr19&8735842,chr11&62832952
65834at7742,,,,chr7&4833039,,
65757at7742,,,chr19&47800712,chr23&4359957,,chr1&35808417
389299at7742,,,chr16&26021109,chrZ&9298034,chr7&105809857,chr11&6682118
389363at7742,,,chr6&35389781,chr8&4075492,chr1&169662208,chr1&163147342
64807at7742,,,chr2&8806195,chr8&19401107,chr3&152427328,
209555at7742,,chr46&573,chr9&3282533,chr7&17895178,chr2&71396926,chr2&171934395
210019at7742,,,chr23&35788193,chr33&7200842,chr15&102280195,chr12&53252836
63939at7742,,chr14&1730805,,chr1&111618801,chr10&78171960,chr21&5131281
210433at7742,,,,chrZ&22502363,,
210721at7742,,NW_022630587.1&1,chr21&11180277,chrZ&10568141,chr15&10447065,chr5&34929820
211124at7742,,chr5&6944444,,chr3&27545862,,
266944at7742,,,,,,
62592at7742,,,,chr5&4101278,,
393381at7742,,,,chr6&27694281,,
212720at7742,,,chr18&20642579,chr1&24799631,chr6&18051251,chr7&117363596
212765at7742,,,chr15&46549310,chr1&81693006,chr16&39001206,chr3&118902520
59241at7742,,chr2&21425256,chr7&41491921,chr2&55367060,chr4&40971035,chr9&33290477
213068at7742,,,chr2&37233787,chr9&20054743,chr3&30750592,chr3&169919499
394099at7742,,,chr7&8695089,,chr6&83771188,chr2&70988600
266228at7742,,,chr7&38705022,chr5&18630808,chr2&104027863,chr11&33741908
56885at7742,,,chr23&45951127,chr8&16742130,chr3&146040698,chr1&85062329
214005at7742,,chr31&5456144,chr8&48816559,chr21&979785,chr4&154142445,chr1&3630975
55268at7742,,,chr7&58144276,,chr4&6397767,
106894at7742,,,chr24&35881984,,,
360873at7742,,chr14&16601319,chr9&19003341,chr1&94356275,chr16&65815633,chr3&86951817
108312at7742,,chr17&26955445,,chr11&11520737,,
313967at7742,,,chr23&28845026,chr21&3768911,chr4&148961341,chr1&10599292
139811at7742,,,chr12&4225199,chr14&16093686,chr11&61489117,chr17&19378901
330996at7742,,chr8&5920271,chr17&6528282,chr3&105458616,chr12&4214494,chr2&24798055
139567at7742,,,chr19&42397977,chr25&83562,chr3&96006147,chr1&150067858
162212at7742,,,chr23&45867695,chr4&76656049,chr5&43745299,chr4&15605723
331411at7742,,,chr20&14813949,chr8&4905988,chr1&161958448,chr1&172441729
332363at7742,,,chr7&49901602,chr5&19090078,chr2&103078556,chr11&34882717
333504at7742,,,,,chr12&90729424,chr14&80202713
333671at7742,,,chr22&16308849,chr8&12322321,,chr1&100151169
311241at7742,,,chr19&20391313,chr2&34430418,chr17&50276657,chr3&16577756
334890at7742,,,chr10&10801719,chr17&998766,chr4&63143614,chr9&114060239
163855at7742,,,chr4&8018987,chr1&7227363,chr2&5021351,chr10&13092785
335517at7742,,,chr24&36226172,chr2&102972916,,chr18&23336774
164538at7742,,,chr12&22532490,,chr11&69765913,chr17&7461940
336001at7742,,,chr17&15220474,chr5&58381824,chrX&68821347,
309843at7742,,chr5&110460142,chr20&33739103,chr3&66931921,,
336178at7742,,chr15&4861745,chr12&16446500,chr6&20457586,chr19&36083737,chr10&90871987
336346at7742,,,chr7&69424823,,chr11&69968426,chr17&7252503
336619at7742,,,chr25&10420029,chr5&19017301,chr2&103266772,chr11&34632223
133153at7742,,,chr16&13822176,chr14&5129265,chr11&59792610,chr17&17213655
336764at7742,,,chr15&19331325,chr24&2585695,chr9&27000014,chr11&134248438
166380at7742,,,chr13&23990058,chr3&40540295,chr8&124556453,chr1&230694427
337045at7742,,,chr19&7424386,chr25&1843046,,chr1&149923542
131983at7742,,,chr1&52768465,chr5&233987,chr19&11912563,chr11&59639044
307170at7742,,,,,chr13&104775820,chr5&64769147
338075at7742,,,chr19&7799167,,chr2&170265921,chrX&148198032
130943at7742,,,chr12&13091979,chr10&1778245,chr2&122119260,chr15&44665953
329437at7742,,chr24&38225547,chr6&40874353,chr26&3165460,chr1&193174342,chr1&209782825
166801at7742,,,chr21&644508,chr4&49596787,chr8&36099697,chr8&8318154
142495at7742,,,chr18&7357058,chr1&38115034,chr10&111298723,chr12&76345813
142850at7742,,chr13&33210520,,,,
155361at7742,,chr18&19042869,chr6&42934151,chr12&19022312,chr6&108828740,chr3&5187806
319460at7742,,,,chrZ&42475673,chr9&110957822,chr3&46519014
321778at7742,,,chr19&2545687,chr2&30403001,chr12&118238147,chr7&21428721
321789at7742,,,chr4&1620141,chr1&30988047,chr15&96414788,chr12&45922048
318959at7742,,,chr22&16123721,chr8&12143887,,chr1&100896263
153401at7742,,,chr11&900692,chr12&4781954,chr6&114477367,chr3&11259038
153051at7742,,,,chr33&7377090,chr15&102406416,chr12&53380292
318720at7742,,,chr9&50018942,chr7&20002634,chr2&65316770,chr2&164898437
152820at7742,,,,,,
323530at7742,,chr7&90839679,,chr7&23551786,chr1&72297908,chr2&216095964
157016at7742,,,,,,
318035at7742,,,,chr1&75887566,chr6&122312235,chr12&8941818
150696at7742,,,chr7&56112086,chr11&18604629,,chr16&89171832
150456at7742,,,chr1&44396564,chr5&556281,chr19&3935257,chr11&67991546
324664at7742,,chr1&174844277,chr1&43652817,chr4&86200360,chr6&73248696,chr2&84423746
149121at7742,,,chr18&44769257,chr30&691462,chr10&78574815,chr19&15115252
325447at7742,,,chr5&52927141,,chr19&6080357,chr11&65084699
147736at7742,,,chr23&45275595,chr4&58121066,chr3&129846083,
325703at7742,,,chr1&31509028,chrZ&20547025,chr13&104229153,chr5&65507361
159771at7742,,,chr5&72094685,chr4&85995253,chr6&71128630,chr2&88173151
145104at7742,,,chr8&51935176,chrZ&37948034,chr19&15955840,chr9&78236351
315832at7742,,,chr22&724960,chr26&1619583,chr17&29273874,chr6&36887662
160732at7742,,chr38&13566905,chr12&18887457,chr1&49555878,chr15&82017123,chrX&150231071
328263at7742,,,chr16&40480695,chr2&126322444,,chr8&95025105
328352at7742,,,chr10&5025881,chr4&46398923,chr5&100040219,chr4&82430830
160923at7742,,,chr25&37461276,chr11&18771342,chr8&123254716,chr16&89721641
328736at7742,,,chr24&35387649,chr2&108430041,chr16&14705974,
142719at7742,,,chr6&30093816,chr8&29336063,,
339849at7742,,,,chr4&77443049,,
129939at7742,,,,chr2&107820563,,
306544at7742,,chr7&90437330,chr9&48043494,chr7&22569500,chr1&74236826,chr2&218217471
118164at7742,,chr6&87113928,chr9&34918312,chr1&138284218,chr8&13757807,chr13&114235085
117635at7742,,,chr13&28781620,chr6&23501555,chr19&46003626,chr10&102065475
117494at7742,,,chr8&53150972,chr12&20120877,chr6&92189310,chr3&15073782
175755at7742,,,KN149790.1&25299,chr1&56752442,chr6&39337192,chr7&140335412
116482at7742,,chr21&42797560,chr4&9603658,chr1&7994107,chr2&3424218,chr10&14908408
353461at7742,,,chr8&2642384,chr17&5192782,chr2&32452439,chr9&128063428
295613at7742,,NW_022630323.1&7908,chr16&43230057,chr2&21735134,chr5&5507691,chr7&90412677
295101at7742,,,chr7&7784891,chrZ&81795195,chr4&45300445,chr9&37753814
294443at7742,,chr2&8779667,chr19&42919480,,chr15&76644534,chr8&144450379
355312at7742,,,chr7&18550397,chr4&82077997,chr5&34917596,chr4&3249223
114819at7742,,,chr6&20952031,chr7&22030649,chr1&75521789,chr2&219598009
176497at7742,,,chr3&55046096,chr14&12457963,chr11&32232951,chr16&86705
176579at7742,,,chr4&1538547,chr1&31058116,chr15&96996990,
177602at7742,,,chr22&11520546,chr18&9543012,chr11&119346278,chr17&80210452
357059at7742,,,chr17&41303143,chr3&27500695,chr5&32136704,chr2&28393721
179120at7742,,chr23&19003138,chr23&12124604,chr20&10076186,chr2&152970689,chr20&31890743
180713at7742,,,chr4&357985,chr3&52131720,chr17&6256944,chr6&158560089
111501at7742,,,chr5&69750020,,,
358727at7742,,chr27&1714175,chr16&7376618,chrZ&23986267,chr4&132459560,chr1&28328942
181216at7742,,,,,,
111128at7742,,,chr24&5889762,chr2&15947101,,chr10&27155427
359032at7742,,chr4&44824146,chr2&30247245,chr2&118027624,chr1&16665346,chr8&73972991
359192at7742,,,chr2&6536558,chr8&4038612,chr1&144753812,chr1&192158293
110339at7742,,,chr1&21855860,,chr5&138030336,
181384at7742,,chr3&86696198,chr21&22330655,chrZ&10990211,chr15&9071502,chr5&36192659
359541at7742,,chr38&12569405,chr6&21576596,chr1&51071041,chr15&79135151,chr22&37944175
291383at7742,,,chr16&17254028,chr1&78020634,chr6&124704363,chr12&6970924
174148at7742,,chr26&37046115,chr6&18524582,chr18&6568935,chr11&79935955,chr17&31863359
119371at7742,,,chr12&14216281,chr3&81520207,chr9&78445071,chr6&73461855
120479at7742,,chr3&126391610,chr14&36415000,chr4&42233732,chr8&53587145,chr4&177316185
349204at7742,,chr26&21268622,chr12&31779178,chr18&10377581,chr11&94630005,chr17&50382988
340499at7742,,,chr17&30205389,chr3&19766089,chr1&187097735,
129214at7742,,chr6&47070847,chr21&25120613,chr1&181426322,,
129039at7742,,chr4&115753193,chr16&27661188,chr2&4081944,chr11&6616613,chr7&45100325
128421at7742,,,chr8&16264203,chr8&24156063,chr4&109697278,
305045at7742,,chr19&23427029,chr4&16352296,chr1&44019156,chr10&97556687,chr12&91104165
342192at7742,,,,chr2&91390357,chr18&84088165,chr18&75201416
127445at7742,,,,,,
127291at7742,,,chr5&33612063,chr17&8925505,chr2&35869362,
126705at7742,,,chr15&23710606,chr32&419172,chr7&16411880,chr19&47066356
169538at7742,,,chr17&40879404,chr3&27897288,chr5&31527022,chr2&27663915
126329at7742,,,chr23&14194188,chr33&3398504,chr15&98645794,
343966at7742,,,,chr5&38136591,chr12&84757126,chr14&74480043
169683at7742,,,chr16&14251056,chr25&1436939,chr3&96711979,chr1&145825777
406184at7742,,,chr18&16948446,chr5&9835119,chr7&109703952,chr11&8911450
344151at7742,,,KN150137.1&18080,chr2&66297803,chr13&34037663,chr6&3118741
124775at7742,,,,chr1&51470162,chr15&78440214,chr22&37066080
124571at7742,,,chr10&11794469,chrZ&20588703,chr13&104178782,chr5&65591769
123936at7742,,,,chr13&17661606,,
123847at7742,,,chr5&32865364,chr17&1900196,,chr9&127454528
170012at7742,,,chr9&12868409,chr7&22216945,chr1&75192452,chr2&219230258
123291at7742,,,chr16&9425093,chr25&3726670,chr3&95830819,chr1&150324943
123145at7742,,,chr6&18367813,chr18&6262923,chr11&89040732,chr17&56834796
302828at7742,,,chr23&43638994,,,
301932at7742,,,chr11&1512592,chr20&10516869,chr2&164792892,chr20&45841838
346365at7742,,,,,chr4&107292330,chr1&53894211
347954at7742,,,chr8&14381388,chr8&6289097,chr1&155558638,
173172at7742,,chr7&86456599,chr6&13892700,chr7&22179216,chr1&75308659,chr2&219374292
298137at7742,,,chr12&10447959,chr14&15375641,chr7&120186634,chr16&21258781
304593at7742,,chr3&117841335,chr5&35257224,chrZ&25250111,chr13&99319616,chr5&72320383
42033at7742,,,chr18&44567386,chr32&466812,chr7&16197297,chr19&47353031
320238at7742,,,chr23&496555,,chr2&180598260,
235274at7742,,chr45&5858046,chr14&26453263,chr33&6612541,chr19&6047934,chr11&65128382
33525at7742,,chr38&776789,chr18&45667072,chr5&5858389,chr2&104758465,chr11&32913725
425988at7742,,,chr19&23919096,chr25&3344736,chr3&90489492,chr1&153658744
5422at7742,,,chr17&28675221,chr5&34548634,chr12&51744521,chr14&31100930
10163at7742,,,chr5&72026549,chr17&6474532,chr2&32174477,chr9&131410471
416176at7742,,chr44&12960657,chr7&29351804,chr10&5843768,chr9&70015339,chr15&59639132
38686at7742,,,,chrZ&53457750,chr5&108569855,chr4&849673
423617at7742,,,chr16&4542443,chr1&77586795,,chr12&6492271
251511at7742,,,chr19&42938387,chr2&45849688,chr9&111448281,chr3&36715328
237959at7742,,,chr15&25894450,chr19&5643584,chr11&75179149,chr17&2015603
39061at7742,,,chr1&23372667,chr4&69030617,chr5&65786133,chr4&40097341
413289at7742,,,chr23&29695429,chr21&3537654,chr4&149543334,chr1&9858656
21970at7742,,,chr1&38775248,chr4&44307810,,chr4&176111581
233465at7742,,,chr15&34346475,,,
412561at7742,,,chr16&29686372,chr25&251166,chr3&95129784,chr1&151166153
256267at7742,,,chr11&6074244,,chr8&71385616,chr19&17250225
30224at7742,,,,chr22&2513219,chr8&27090604,chr8&37809889
243851at7742,,chr5&4909074,chr13&15918549,chr3&16096960,chr2&129066147,chr2&112482345
412581at7742,,,chr17&24918114,chr3&91488513,chr8&14028080,chr8&664603
421575at7742,,,chr21&13788312,chr17&2776170,chr4&62286569,chr9&113151075
5520at7742,,,,chr1&181592151,chr9&53439746,
425387at7742,,,chr12&17755982,chr14&1511707,chr5&144190988,chr7&98212310
251667at7742,,,chr23&24600496,chr33&3350829,,chr12&48650153
8258at7742,,,chr6&39669226,chr33&7234743,chr15&102296769,chr12&53268767
239783at7742,,chr10&69448186,chr8&17983627,chr8&29906699,chr3&155086616,chr1&74198240
408552at7742,,,chr8&43342125,chr15&5036041,chr5&125003568,chr12&124295430
240065at7742,,,chr20&51363830,chr3&30308983,chr17&29614968,chr6&37354165
433490at7742,,chr8&40401789,chr20&26045658,chr3&51965159,chr17&6079817,chr6&158191183
424147at7742,,chr44&7706521,chr7&50407928,chr10&20562299,chr2&121457106,chr15&43800599
424874at7742,,,chr16&13883934,chrZ&73136628,chr18&46734450,
35211at7742,,,chr15&27448013,chr19&7631791,chr11&86061429,chr17&61683296
19085at7742,,,,chr2&90579225,,chr18&76849642
226949at7742,,,chr14&46200676,chr4&29332561,chr3&51521307,chr4&139511663
34549at7742,,,chr17&11146339,chr5&55351594,chr12&71137885,chr14&58439666
245463at7742,,,chr5&10056233,,chr5&110841213,
19730at7742,,,,chr3&57369340,chr10&24870099,chr6&131594061
28954at7742,,,chr4&27113278,chr1&19014915,,chr22&49883663
228730at7742,,,chr6&29227552,chr1&84810261,chr1&164320428,
239747at7742,,,chr16&29376851,chr25&2624408,chr3&87923791,chr1&156729105
236514at7742,,chr23&40076292,chr14&48977633,chr5&17249477,chr2&84723546,chr11&57646943
240294at7742,,,chr9&40874251,chr7&174489,,chr2&190205117
37782at7742,,chr5&50237647,chr20&40769265,chr3&61880731,chr10&56017585,chr6&121080771
22496at7742,,chr19&41738463,chr25&18587338,chr1&25062053,chr6&17491187,chr7&116695757
416838at7742,,chr10&68688159,chr23&46031809,chr8&16687449,chr3&145938059,chr1&85252629
26485at7742,,,chr2&44750048,chr1&77587571,chr6&125168234,chr12&6495111
243575at7742,,chr20&29367102,chr25&7462405,chr5&1710192,chr19&4447687,chr11&67021726
406718at7742,,,,chr4&44723843,chr5&91083819,chr4&74365309
427222at7742,,chr38&11831063,chr3&1182326,chr1&49418433,chr15&82350240,chr22&42086183
15083at7742,,,chr2&54755226,,chr17&65950155,chr18&9189963
406535at7742,,chr38&39495,chr12&27025770,chr31&5623070,chr7&13030996,chr19&58550777
412883at7742,,,chr14&31616237,chr4&4166814,chrX&56576005,chrX&135964624
1566at7742,,,chr24&32018577,,chr2&13268388,chr10&16815840
224567at7742,,chr7&86732012,chr9&38400243,chr7&22468487,chr1&74589559,chr2&218660988
23496at7742,,chr9&6354126,chr20&28270679,chr5&24674860,chr2&119374364,chr15&40980223
1653at7742,,chr22&20599510,chr12&17933775,chr14&1723283,chr5&144771150,chr7&98880989
427644at7742,,,chr13&51844058,chr3&8707443,chr17&72919463,chr2&30237567
229738at7742,,,chr25&8110056,chr4&35040350,chr7&46571353,chr11&17943808
31418at7742,,,chr17&31185454,chr5&996933,chr2&118786062,chr15&40358322
13987at7742,,chr7&86914095,chr9&38390099,chr7&22473732,chr1&74566878,chr2&218638339
248515at7742,,chr43&12606669,chr11&17984390,chr24&339199,chr9&35267646,chr11&126203418
245482at7742,,,chr23&33683485,,chr15&100578273,chr12&51190247
238417at7742,,,chr11&3972171,chr12&1175845,chr14&31006497,chr3&52694845
429784at7742,,chr38&12963560,chr12&19185757,chr1&50847602,chr15&79661447,chr22&38656638
235284at7742,,,chr16&17234896,chr1&77649191,chr6&125129570,chr12&6556993
24468at7742,,,chr7&46363390,chr11&8780412,,
429826at7742,,,chr20&29231674,,,
438295at7742,,chr6&52970373,,,,chrX&51922677
436864at7742,,,,chrZ&27815384,chr19&29700100,chr9&5892475
241288at7742,,,chr13&28513107,chr6&23681273,chr19&45578806,chr10&101611291
295973at7742,chr1&1267752,chr1&1373059,chr1&53267121,chr4&29914238,chr8&82764229,chr4&141220873
87599at7742,chr1&2399487,chr1&2476203,chr14&712252,chr4&34128081,chr8&68794020,chr8&19817538
206342at7742,chr1&2605017,chr1&2672995,chr14&49997411,chr4&34372850,chr3&40904902,chr4&127972123
229564at7742,chr1&2665193,chr1&2722933,chr12&22623092,chr4&34359295,chr3&40819514,chr4&127920630
64591at7742,chr1&2938354,chr1&3004480,chr7&7711745,chr4&34254950,chr3&40652529,chr4&127643459
285297at7742,chr1&5398051,chr44&2037169,chr23&27498919,chr33&7256998,chr15&98135806,chr12&48149366
388183at7742,chr1&6659692,chr1&6961952,chr14&553000,chr4&53565306,chr3&37405097,chr4&122892828
160275at7742,chr1&6796585,chr1&7095514,chr14&1355857,chr4&53628227,chr3&37312731,chr4&122741893
144578at7742,chr1&7143466,chr1&7420217,chr14&1236963,chr4&53726732,chr3&37063723,chr4&122364958
108730at7742,chr1&7677415,chr1&7999242,chr14&46377020,chr4&53918383,chr3&36573489,chr4&121825860
249694at7742,chr1&7787919,chr1&8109494,chr1&19083608,chr4&53939310,chr3&36552686,chr4&121801425
110226at7742,chr1&8172974,chr1&8651731,chr5&9047602,chrZ&53622511,chr5&108669390,chr4&987085
359330at7742,chr1&8325234,chr1&8771129,chr1&22855983,chr4&34711267,chr8&33735551,chr8&30578921
144352at7742,chr1&9384573,chr1&10310193,chr1&24520957,chr4&33435860,chr3&85574144,chr4&151671174
130549at7742,chr1&12254687,chr1&13069925,chr1&36746238,chr4&31967313,chr8&77549548,chr4&147638532
433281at7742,chr1&13508280,chr1&14377982,chr1&36188049,chr4&31367831,,chr4&146182922
210234at7742,chr1&13716089,chr1&14584791,chr1&35959324,chr4&31178220,chr8&79267928,chr4&145639302
398379at7742,chr1&15445232,chr1&16411219,chr1&19760782,chr4&23415495,chr8&66476675,chr4&163494350
117499at7742,chr1&18283578,chr1&19379674,chr14&48071291,chr4&21929652,chr3&79604002,chr4&158672457
166722at7742,chr1&18406908,chr1&19490058,chr14&35877291,chr4&21771366,chr3&79886227,chr4&158127407
253625at7742,chr1&19688067,chr1&20798956,chr14&36752529,chr4&20908801,chr3&81932665,chr4&155926036
109231at7742,chr1&19810198,chr1&20939208,chr1&25799851,chr4&20825005,chr3&82037890,chr4&155784131
162368at7742,chr1&19912249,chr1&21019869,chr7&59576008,chr4&57070946,chr3&127536954,chr4&112637494
49885at7742,chr1&20134224,chr1&21249348,chr7&1112900,chr4&57133859,chr3&127666772,chr4&112377778
339693at7742,chr1&20294358,chr1&21423710,chr14&4796754,chr4&57169638,chr3&127808491,chr4&112250508
89391at7742,chr1&21659408,chr1&22902467,chr13&12543868,chr4&57825703,chr3&129270279,chr4&110476415
29959at7742,chr1&22108461,chr1&23399811,chr14&36280834,chr4&58022130,chr3&129687317,chr2&169128663
261523at7742,chr1&22278809,chr1&23538090,chr13&12528009,chr4&58101461,chr3&129808932,chr4&109815309
422259at7742,chr1&22293632,chr1&23551409,chr14&43606849,chr4&58113086,chr3&129824635,
187791at7742,chr1&22497711,chr1&23723620,chr7&59677409,chr4&80968536,chr5&35557826,chr4&8440823
291391at7742,chr1&26687638,,chr1&20917164,chr4&23879338,chr8&64718986,chr4&165333371
372062at7742,chr1&26915134,chr1&28197803,chr1&19649617,chr4&23790319,chr8&64947307,chr4&165079658
318965at7742,chr1&27079833,chr1&28469170,chr7&39738571,chr4&79928294,chr5&36475970,chr4&7043325
77680at7742,chr1&27886015,chr2&129454646,chr24&17048220,chr2&17448659,chr2&19222532,chr10&22927587
357819at7742,chr1&28620638,chr1&30279030,,chr4&78531795,chr5&38224676,chr4&4267889
417555at7742,chr1&28693081,chr1&30336643,,chr4&78500599,chr5&38260402,
